"","Name","HighSchool","Position","Rating","NIL.Valuation","Followers","Last.Team","PastConf","New.Team","NewConf","didTransfer","binomialRep"
"204","Jer'Zhan Newton","DL /Clearwater Central CatholicClearwater, FL","DL",83.8,502000,6500,NA,NA,"illinois fighting illini","Big Ten","No",0
"205","Howard Cross","DL /St. Joseph Regional Montvale, NJ","DL",90,499000,4600,NA,NA,"notre dame fighting irish","Independent","No",0
"206","Deone Walker","DL /Cass TechnicalDetroit, MI","DL",90.52,479000,11600,NA,NA,"kentucky wildcats","SEC","No",0
"207","DJ Hicks","DL /PaetowKaty, TX","DL",98.98,437000,24000,NA,NA,"texas a&m aggies","SEC","No",0
"208","Bear Alexander","DL /IMG AcademyDenton, TX","DL",96.33,429000,43000,"georgia bulldogs","SEC","usc trojans","Pac-12","Yes",1
"209","Jared Ivey","DL /North GwinnettSuwanee, GA","DL",89.89,424000,5700,NA,NA,"ole miss rebels","SEC","No",0
"210","Jamree Kromah","DL /Charles Herbert FlowersUpper Marlboro, MD","DL",79.15,382000,1300,NA,NA,"recruits",NA,"No",0
"211","Lee Hunter","DL /BlountEight Mile, AL","DL",94.34,352000,15600,NA,NA,"ucf knights","Big 12","No",0
"212","Brandon Dorlus","DL /Deerfield BeachDeerfield Beach, FL","DL",85.03,352000,10700,NA,NA,"oregon ducks","Pac-12","No",0
"213","T.J. Sanders","DL /MarionMarion, SC","DL",86.23,338000,4400,NA,NA,"south carolina gamecocks","SEC","No",0
"214","Peter Woods","DL /ThompsonAlabaster, AL","DL",97.65,328000,33000,NA,NA,"clemson tigers","ACC","No",0
"215","Tyleik Williams","DL /Unity ReedManassas, VA","DL",92.67,323000,22000,NA,NA,"ohio state buckeyes","Big Ten","No",0
"216","Rylie Mills","DL /Lake ForestLake Forest, IL","DL",91.44,320000,8100,NA,NA,"notre dame fighting irish","Independent","No",0
"217","Mike Hall","DL /StreetsboroStreetsboro, OH","DL",95.56,291000,30000,NA,NA,"ohio state buckeyes","Big Ten","No",0
"218","James Smith","DL /Carver Montgomery, AL","DL",97.38,280000,9400,NA,NA,"alabama crimson tide","SEC","No",0
"219","Keith Randolph","DL /Belleville WestBelleville, IL","DL",87.13,255000,8800,NA,NA,"illinois fighting illini","Big Ten","No",0
"220","Darius Alexander","DL /WayneFort Wayne, IN","DL",78.77,253000,310,NA,NA,"toledo rockets","MAC","No",0
"221","Jaylon Hutchings","DL /ForneyForney, TX","DL",80.15,249000,3500,NA,NA,"texas tech red raiders","Big 12","No",0
"222","Patrick Jenkins","DL /John EhretMarrero, LA","DL",91.76,246000,3800,NA,NA,"tulane green wave","American","No",0
"223","Mason Graham","DL /ServiteAnaheim, CA","DL",90.19,246000,5600,NA,NA,"michigan wolverines","Big Ten","No",0
"224","Leonard Taylor","DL /Miami PalmettoMiami, FL","DL",98.68,242000,29000,NA,NA,"miami hurricanes","ACC","No",0
"225","Marcus Harris","DL /Park CrossingMontgomery, AL","DL",80.77,240000,12800,NA,NA,"recruits",NA,"No",0
"226","Jordan Hall","DL /WestsideJacksonville, FL","DL",97.33,240000,17700,NA,NA,"georgia bulldogs","SEC","No",0
"227","Jon Seaton","DL /HillsboroughHillsborough, NJ","DL",50,231000,1900000,NA,NA,"recruits",NA,"No",0
"228","Matayo Uiagalelei","DL /St. John BoscoBellflower, CA","DL",96.57,208000,42000,NA,NA,"oregon ducks","Pac-12","No",0
"229","Daevin Hobbs","DL /Jay M RobinsonConcord, NC","DL",96.17,208000,14100,NA,NA,"tennessee volunteers","SEC","No",0
"230","Nash Hutmacher","DL /ChamberlainChamberlain, SD","DL",86.87,193000,15900,NA,NA,"nebraska cornhuskers","Big Ten","No",0
"231","Kris Jenkins","DL /Our Lady Good Counsel HSOlney, MD","DL",88.07,190000,11700,NA,NA,"michigan wolverines","Big Ten","No",0
"232","Alfred Collins","DL /Cedar CreekBastrop, TX","DL",94.63,186000,10300,NA,NA,"texas longhorns","Big 12","No",0
"233","Vernon Broughton","DL /Cy RidgeHouston, TX","DL",93.51,184000,7300,NA,NA,"texas longhorns","Big 12","No",0
"234","Braden Fiske","DL /Michigan CityMichigan City, IN","DL",79.32,182000,3100,"western michigan broncos","MAC","florida state seminoles","ACC","Yes",1
"235","Dontay Corleone","DL /ColerainCincinnati, OH","DL",81.45,177000,2900,NA,NA,"cincinnati bearcats","Big 12","No",0
"236","Nathan Pickering","DL /SeminarySeminary, MS","DL",94.53,169000,17800,NA,NA,"mississippi state bulldogs","SEC","No",0
"237","James Thompson Jr.","DL /Roger BaconCincinnati, OH","DL",82.6,156000,1800,NA,NA,"wisconsin badgers","Big Ten","No",0
"238","Tyler Davis","DL /WekivaApopka, FL","DL",92.72,155000,11500,NA,NA,"clemson tigers","ACC","No",0
"239","McKinnley Jackson","DL /George CountyLucedale, MS","DL",94.57,154000,9300,NA,NA,"texas a&m aggies","SEC","No",0
"240","Jordan Renaud","DL /Tyler LegacyTyler, TX","DL",95.28,152000,6200,NA,NA,"alabama crimson tide","SEC","No",0
"241","Mekhi Wingo","DL /DeSmetSaint Louis, MO","DL",87.13,148000,11700,NA,NA,"lsu tigers","SEC","No",0
"242","Sydir Mitchell","DL /Bergen CatholicOradell, NJ","DL",91.59,144000,14400,NA,NA,"texas longhorns","Big 12","No",0
"243","Omari Thomas","DL /Briarcrest ChristianMemphis, TN","DL",94.21,138000,38000,NA,NA,"tennessee volunteers","SEC","No",0
"244","DeWayne Carter","DL /Pickerington CentralPickerington, OH","DL",88.37,137000,28000,NA,NA,"duke blue devils","ACC","No",0
"245","Vic Burley","DL /Warner RobinsWarner Robins, GA","DL",95.17,136000,13200,NA,NA,"clemson tigers","ACC","No",0
"246","Elijah Simmons","DL /Pearl-CohnNashville, TN","DL",87.47,136000,17900,NA,NA,"tennessee volunteers","SEC","No",0
"247","Hunter Osborne","DL /Hewitt-TrussvilleTrussville, AL","DL",92.51,135000,28000,NA,NA,"alabama crimson tide","SEC","No",0
"248","Jason Moore","DL /DeMatha CatholicFort Washington, MD","DL",95.53,132000,16000,NA,NA,"ohio state buckeyes","Big Ten","No",0
"249","Kurott Garland","DL /HeritageConyers, GA","DL",83,130000,4100,NA,NA,"tennessee volunteers","SEC","No",0
"250","Keldric Faulk","DL /Highland HomeHighland Home, AL","DL",95.46,130000,12300,NA,NA,"auburn tigers","SEC","No",0
"251","Judge Culpepper","DL /PlantTampa, FL","DL",88.7,129000,2200,NA,NA,"toledo rockets","MAC","No",0
"252","Dominic Bailey","DL /St. Frances AcademyBaltimore, MD","DL",91,124000,5100,NA,NA,"tennessee volunteers","SEC","No",0
"253","Andrew Depaepe","DL /Pleasant ValleyBettendorf, IA","DL",93.71,124000,9000,NA,NA,"michigan state spartans","Big Ten","No",0
"254","Stephiylan Green","DL /RomeRome, GA","DL",93.99,123000,5200,NA,NA,"clemson tigers","ACC","No",0
"255","Edric Hill","DL /North Kansas CityKansas City, MO","DL",92.53,121000,3500,NA,NA,"alabama crimson tide","SEC","No",0
"256","Enow Etta","DL /Covenant Christian AcademyColleyville, TX","DL",93.59,120000,6900,NA,NA,"michigan wolverines","Big Ten","No",0
"257","John Walker","DL /OsceolaKissimmee, FL","DL",94.2,117000,9000,NA,NA,"ucf knights","Big 12","No",0
"258","Desmond Watson","DL /ArmwoodSeffner, FL","DL",89.33,108000,36000,NA,NA,"florida gators","SEC","No",0
"259","Tony Bradford","DL /North ShoreHouston, TX","DL",82.97,107000,3800,NA,NA,"texas tech red raiders","Big 12","No",0
"260","Ty Hamilton","DL /Pickerington CentralPickerington, OH","DL",85.9,107000,109000,NA,NA,"ohio state buckeyes","Big Ten","No",0
"261","Joshua Farmer","DL /Gadsden CountyApalachicola, FL","DL",86.83,106000,13100,NA,NA,"recruits",NA,"No",0
"262","Fabien Lovett","DL /Olive BranchOlive Branch, MS","DL",88.73,105000,16700,NA,NA,"recruits",NA,"No",0
"263","Joe Golden","DL /DohertyGreeley, CO","DL",50,104000,1200,NA,NA,"oregon state beavers","Pac-12","No",0
"264","Jamaal Jarrett","DL /GrimsleyGreensboro, NC","DL",92.39,103000,33000,NA,NA,"georgia bulldogs","SEC","No",0
"265","Will Norman","DL /EastsideCamden, NJ","DL",91.93,102000,39000,NA,NA,"florida gators","SEC","No",0
"266","Darrell Jackson","DL /Gadsden CountyHavana, FL","DL",85.93,101000,7900,"miami hurricanes","ACC","florida state seminoles","ACC","Yes",1
"267","Justin Eboigbe","DL /Forest ParkForest Park, GA","DL",94.93,100000,17200,NA,NA,"alabama crimson tide","SEC","No",0
"268","Shemar Stewart","DL /Monsignor PaceOpa Locka, FL","DL",98.56,100000,32000,NA,NA,"texas a&m aggies","SEC","No",0
"269","Gilber Edmond","DL /Fort Pierce WestwoodFort Pierce, FL","DL",82.53,100000,4500,"south carolina gamecocks","SEC","florida state seminoles","ACC","Yes",1
"270","Dennis Briggs","DL /GatewayKissimmee, FL","DL",90.29,99000,5400,NA,NA,"florida state seminoles","ACC","No",0
"271","LT Overton","DL /MiltonAlpharetta, GA","DL",98.24,98000,23000,NA,NA,"texas a&m aggies","SEC","No",0
"272","Markis Deal","DL /Naaman ForestGarland, TX","DL",93.47,97000,4300,NA,NA,"tcu horned frogs","Big 12","No",0
"273","Jaheim Oatis","DL /ColumbiaColumbia, MS","DL",94.97,97000,13400,NA,NA,"alabama crimson tide","SEC","No",0
"274","Tim Smith","DL /Sebastian RiverSebastian, FL","DL",96.05,97000,7600,NA,NA,"alabama crimson tide","SEC","No",0
"275","Damon Payne","DL /BellevilleBelleville, MI","DL",96.06,97000,8000,NA,NA,"alabama crimson tide","SEC","No",0
"276","Jah-Marien Latham","DL /Pickens CountyReform, AL","DL",91.5,96000,6600,NA,NA,"alabama crimson tide","SEC","No",0
"277","Chris McClellan","DL /OwassoOwasso, OK","DL",93.84,95000,14800,NA,NA,"florida gators","SEC","No",0
"278","Kyon Barrs","DL /Murrieta MesaMurrieta, CA","DL",50,95000,6400,"arizona wildcats","Pac-12","usc trojans","Pac-12","Yes",1
"279","Tyreak Sapp","DL /St. Thomas AquinasFort Lauderdale, FL","DL",93.39,95000,9200,NA,NA,"florida gators","SEC","No",0
"280","Jack Sullivan","DL /Plainfield EastPlainfield, IL","DL",82.87,94000,1700,"purdue boilermakers","Big Ten","usc trojans","Pac-12","Yes",1
"281","Justin Rogers","DL /Oak ParkOak Park, MI","DL",96.05,93000,14300,"kentucky wildcats","SEC","auburn tigers","SEC","Yes",1
"282","Albert Regis","DL /La PorteLa Porte, TX","DL",88.63,93000,50000,NA,NA,"texas a&m aggies","SEC","No",0
"283","Caleb Banks","DL /SouthfieldSouthfield, MI","DL",84.1,93000,5100,"louisville cardinals","ACC","florida gators","SEC","Yes",1
"284","Nazir Stackhouse","DL /ColumbiaDecatur, GA","DL",90.78,92000,77000,NA,NA,"georgia bulldogs","SEC","No",0
"285","Isaiah Raikes","DL /St. Augustine PrepRichland, NJ","DL",89.02,92000,18700,NA,NA,"texas a&m aggies","SEC","No",0
"286","Jayson Jones","DL /CaleraCalera, AL","DL",89.7,91000,10200,NA,NA,"auburn tigers","SEC","No",0
"287","Zykeivous Walker","DL /Schley CountyEllaville, GA","DL",94.49,91000,6900,NA,NA,"recruits",NA,"No",0
"288","Darron Reed","DL /CarverColumbus, GA","DL",92.44,91000,4900,NA,NA,"auburn tigers","SEC","No",0
"289","Warren Brinson","DL /IMG AcademyBradenton, FL","DL",90.3,91000,26000,NA,NA,"georgia bulldogs","SEC","No",0
"290","Ty Robinson","DL /HigleyGilbert, AZ","DL",92.61,91000,10600,NA,NA,"nebraska cornhuskers","Big Ten","No",0
"291","Stanley Ta'ufo'ou","DL /Grace BrethrenSimi Valley, CA","DL",86.2,91000,439,NA,NA,"usc trojans","Pac-12","No",0
"292","Brenan Vernon","DL /MentorMentor, OH","DL",92.44,90000,2800,NA,NA,"notre dame fighting irish","Independent","No",0
"293","Ru'Quan Buckley","DL /Godwin Heights SeniorWyoming, MI","DL",87.73,89000,5600,NA,NA,"nebraska cornhuskers","Big Ten","No",0
"294","Mosiah Nasili-Kite","DL /Emerald RidgePuyallup, WA","DL",84.03,88000,788,"maryland terrapins","Big Ten","auburn tigers","SEC","Yes",1
"295","Jadon Scarlett","DL /ArgyleFlower Mound, TX","DL",89.61,88000,3800,NA,NA,"texas a&m aggies","SEC","No",0
"296","Zion Logue","DL /LebanonLebanon, TN","DL",89.4,88000,19200,NA,NA,"georgia bulldogs","SEC","No",0
"297","Aaron Bryant","DL /SouthavenSouthaven, MS","DL",90.08,88000,2400,NA,NA,"texas longhorns","Big 12","No",0
"298","Tyrion Ingram-Dawkins","DL /GaffneyGaffney, SC","DL",93.96,86000,17600,NA,NA,"georgia bulldogs","SEC","No",0
"299","Zane Durant","DL /Lake NonaOrlando, FL","DL",90.05,85000,8000,NA,NA,"penn state nittany lions","Big Ten","No",0
"300","Xzavier McLeod","DL /CamdenCamden, SC","DL",92.16,84000,10100,NA,NA,"recruits",NA,"No",0
"301","Laiatu Latu","EDGE /JesuitCarmichael, CA","EDGE",93.63,730000,6000,NA,NA,"ucla bruins","Pac-12","No",0
"302","Chris Braswell","EDGE /St. Frances AcademyBaltimore, MD","EDGE",98.09,704000,17700,NA,NA,"alabama crimson tide","SEC","No",0
"303","Jonah Elliss","EDGE /Moscow SeniorMoscow, ID","EDGE",83.53,695000,1800,NA,NA,"utah utes","Pac-12","No",0
"304","Dallas Turner","EDGE /St. Thomas AquinasFort Lauderdale, FL","EDGE",98.61,682000,48000,NA,NA,"alabama crimson tide","SEC","No",0
"305","Kaimon Rucker","EDGE /Hart CountyHartwell, GA","EDGE",83.7,677000,6600,NA,NA,"north carolina tar heels","ACC","No",0
"306","Jared Verse","EDGE /Central ColumbiaBloomsburg, PA","EDGE",50,653000,78000,NA,NA,"florida state seminoles","ACC","No",0
"307","James Pearce","EDGE /Julius L. ChambersCharlotte, NC","EDGE",93.46,629000,9000,NA,NA,"tennessee volunteers","SEC","No",0
"308","Jalen Green","EDGE /Good CounselOlney, MD","EDGE",50,624000,2300,NA,NA,"james madison dukes","Sun Belt","No",0
"309","Ashton Gillotte","EDGE /Boca RatonBoca Raton, FL","EDGE",83.28,492000,4100,NA,NA,"louisville cardinals","ACC","No",0
"310","Ahmed Hassanein","EDGE /LoaraAnaheim, CA","EDGE",82.87,484000,7700,NA,NA,"boise state broncos","Mountain West","No",0
"311","Princely Umanmielen","EDGE /ManorManor, TX","EDGE",90.72,464000,30000,NA,NA,"florida gators","SEC","No",0
"312","Keon Keeley","EDGE /Berkeley PrepTampa, FL","EDGE",99.35,454000,25000,NA,NA,"alabama crimson tide","SEC","No",0
"313","Antwaun Powell-Ryland Jr.","EDGE /Indian RiverPortsmouth, VA","EDGE",91.71,443000,8300,"florida gators","SEC","virginia tech hokies","ACC","Yes",1
"314","B.J. Green II","EDGE /Prince Avenue Christian SchoolBogart, GA","EDGE",50,430000,3300,NA,NA,"recruits",NA,"No",0
"315","Kydran Jenkins","EDGE /Jefferson CountyLouisville, GA","EDGE",84.03,397000,0,NA,NA,"purdue boilermakers","Big Ten","No",0
"316","Adepoju Adebawore","EDGE /North Kansas CityKansas City, MO","EDGE",98.81,378000,10500,NA,NA,"oklahoma sooners","Big 12","No",0
"317","Tyler Baron","EDGE /Knoxville CatholicKnoxville, TN","EDGE",93.65,364000,32000,NA,NA,"recruits",NA,"No",0
"318","Solomon Byrd","EDGE /William KnightPalmdale, CA","EDGE",77.32,359000,2700,NA,NA,"usc trojans","Pac-12","No",0
"319","Gabriel Murphy","EDGE /Bishop LynchDallas, TX","EDGE",82.57,319000,2900,NA,NA,"ucla bruins","Pac-12","No",0
"320","Damon Wilson","EDGE /VeniceVenice, FL","EDGE",97.59,318000,22000,NA,NA,"georgia bulldogs","SEC","No",0
"321","J.T. Tuimoloau","EDGE /Eastside CatholicSammamish, WA","EDGE",99.06,312000,60000,NA,NA,"ohio state buckeyes","Big Ten","No",0
"322","Jasheen Davis","EDGE /ShilohSnellville, GA","EDGE",88.13,303000,2200,NA,NA,"wake forest demon deacons","ACC","No",0
"323","Grayson Murphy","EDGE /Bishop LynchDallas, TX","EDGE",82.9,280000,2400,NA,NA,"ucla bruins","Pac-12","No",0
"324","Shemar Turner","EDGE /DeSotoDeSoto, TX","EDGE",97.94,275000,17200,NA,NA,"texas a&m aggies","SEC","No",0
"325","Bralen Trice","EDGE /Sandra Day O'connorGlendale, AZ","EDGE",88.4,266000,4600,NA,NA,"washington huskies","Pac-12","No",0
"326","Andrew Chatfield","EDGE /American HeritageFort Lauderdale, FL","EDGE",91.26,263000,11000,NA,NA,"recruits",NA,"No",0
"327","Chop Robinson","EDGE /Quince OrchardGaithersburg, MD","EDGE",95.55,242000,23000,NA,NA,"penn state nittany lions","Big Ten","No",0
"328","Rueben Bain","EDGE /Miami CentralMiami, FL","EDGE",95.7,239000,24000,NA,NA,"miami hurricanes","ACC","No",0
"329","Adisa Isaac","EDGE /CanarsieBrooklyn, NY","EDGE",93.53,237000,5100,NA,NA,"penn state nittany lions","Big Ten","No",0
"330","Mykel Williams","EDGE /HardawayColumbus, GA","EDGE",98.57,227000,37000,NA,NA,"georgia bulldogs","SEC","No",0
"331","Yhonzae Pierre","EDGE /Eufaula Eufaula, AL","EDGE",97.33,217000,3700,NA,NA,"alabama crimson tide","SEC","No",0
"332","Justice Finkley","EDGE /Hewitt-TrussvilleTrussville, AL","EDGE",93.69,210000,55000,NA,NA,"texas longhorns","Big 12","No",0
"333","Colton Vasek","EDGE /WestlakeAustin, TX","EDGE",94.31,209000,26000,NA,NA,"texas longhorns","Big 12","No",0
"334","Kelby Collins","EDGE /GardendaleGardendale, AL","EDGE",96.43,202000,27000,NA,NA,"florida gators","SEC","No",0
"335","Samuel M'Pemba","EDGE /IMG AcademySaint Louis, MO","EDGE",96.44,197000,26000,NA,NA,"georgia bulldogs","SEC","No",0
"336","Davin Vann","EDGE /CaryCary, NC","EDGE",90.86,197000,2200,NA,NA,"nc state wolfpack","ACC","No",0
"337","Johnny Walker","EDGE /ChamberlainTampa, FL","EDGE",83.13,195000,3000,NA,NA,"missouri tigers","SEC","No",0
"338","J'mond Tapp","EDGE /Ascension CatholicDonaldsonville, LA","EDGE",93.56,194000,6700,NA,NA,"texas longhorns","Big 12","No",0
"339","Ethan Burke","EDGE /WestlakeAustin, TX","EDGE",89.76,193000,5800,NA,NA,"texas longhorns","Big 12","No",0
"340","Dashawn Womack","EDGE /St. Frances AcademyBaltimore, MD","EDGE",96.47,187000,13600,NA,NA,"lsu tigers","SEC","No",0
"341","Barryn Sorrell","EDGE /Holy CrossNew Orleans, LA","EDGE",86.8,179000,4100,NA,NA,"texas longhorns","Big 12","No",0
"342","Tomarrion Parker","EDGE /CentralPhenix City, AL","EDGE",96.02,170000,12100,NA,NA,"clemson tigers","ACC","No",0
"343","Ron Stone Jr.","EDGE /Valley ChristianSan Jose, CA","EDGE",50,166000,4900,NA,NA,"washington state cougars","Pac-12","No",0
"344","Darius Robinson","EDGE /CantonCanton, MI","EDGE",87.1,155000,2900,NA,NA,"missouri tigers","SEC","No",0
"345","Gabe Harris","EDGE /IMG AcademyValdosta, GA","EDGE",95.42,154000,21000,NA,NA,"georgia bulldogs","SEC","No",0
"346","Jaylen Harrell","EDGE /Berkeley PrepTampa, FL","EDGE",89.94,149000,12300,NA,NA,"michigan wolverines","Big Ten","No",0
"347","Bai Jobe","EDGE /Community Christian SchoolNorman, OK","EDGE",95.41,149000,11200,NA,NA,"michigan state spartans","Big Ten","No",0
"348","Tausili Akana","EDGE /SkyridgeKahuku, HI","EDGE",93.5,147000,12000,NA,NA,"texas longhorns","Big 12","No",0
"349","Jayden Wayne","EDGE /IMG AcademyTacoma, WA","EDGE",94.61,143000,29000,NA,NA,"miami hurricanes","ACC","No",0
"350","Roman Harrison","EDGE /BainbridgeBainbridge, GA","EDGE",89.92,143000,18100,NA,NA,"tennessee volunteers","SEC","No",0
"351","Landon Jackson","EDGE /Pleasant GroveTexarkana, TX","EDGE",92.24,143000,27000,NA,NA,"arkansas razorbacks","SEC","No",0
"352","Caleb Herring","EDGE /RiverdaleMurfreesboro, TN","EDGE",94.47,143000,9600,NA,NA,"tennessee volunteers","SEC","No",0
"353","Joshua Josephs","EDGE /North CobbKennesaw, GA","EDGE",91.7,139000,7300,NA,NA,"tennessee volunteers","SEC","No",0
"354","Braylan Shelby","EDGE /FriendswoodFriendswood, TX","EDGE",95.45,137000,6800,NA,NA,"usc trojans","Pac-12","No",0
"355","Jaxon Howard","EDGE /Robbinsdale CooperMinneapolis, MN","EDGE",93.63,134000,20000,NA,NA,"lsu tigers","SEC","No",0
"356","Jack Sawyer","EDGE /Pickerington NorthPickerington, OH","EDGE",99.1,134000,51000,NA,NA,"ohio state buckeyes","Big Ten","No",0
"357","Chandavian Bradley","EDGE /Platte CountyPlatte City, MO","EDGE",93.29,127000,25000,NA,NA,"tennessee volunteers","SEC","No",0
"358","Bryson Eason","EDGE /WhitehavenMemphis, TN","EDGE",89.73,127000,2100,NA,NA,"tennessee volunteers","SEC","No",0
"359","Joshua Mickens","EDGE /Lawrence CentralIndianapolis, IN","EDGE",94.16,124000,6500,NA,NA,"ohio state buckeyes","Big Ten","No",0
"360","Khalid Duke","EDGE /Riverside Military AcademyGainesville, GA","EDGE",82.8,123000,2100,NA,NA,"kansas state wildcats","Big 12","No",0
"361","Chief Borders","EDGE /Heard CountyChicago, IL","EDGE",89.53,123000,61000,"florida gators","SEC","nebraska cornhuskers","Big Ten","Yes",1
"362","Jeremiah Alexander","EDGE /ThompsonAlabaster, AL","EDGE",98.07,122000,29000,NA,NA,"alabama crimson tide","SEC","No",0
"363","Brian Ugwu","EDGE /HillsideHillside, NJ","EDGE",83,122000,99000,NA,NA,"miami (oh) redhawks","MAC","No",0
"364","Kamran James","EDGE /OlympiaOrlando, FL","EDGE",93.19,119000,17500,NA,NA,"florida gators","SEC","No",0
"365","Dasan McCullough","EDGE /Bloomington SouthBloomington, IN","EDGE",94.5,119000,80000,"indiana hoosiers","Big Ten","oklahoma sooners","Big 12","Yes",1
"366","Nic Scourton","EDGE /BryanBryan, TX","EDGE",90.26,117000,7000,NA,NA,"purdue boilermakers","Big Ten","No",0
"367","Caden Curry","EDGE /Center GroveGreenwood, IN","EDGE",93.6,115000,20000,NA,NA,"ohio state buckeyes","Big Ten","No",0
"368","Patrick Payton","EDGE /NorthwesternMiami, FL","EDGE",91.52,114000,15300,NA,NA,"florida state seminoles","ACC","No",0
"369","Collins Acheampong","EDGE /Santa Margarita CatholicRancho Santa Margarita, CA","EDGE",92.94,114000,13700,NA,NA,"miami hurricanes","ACC","No",0
"370","Elijah Roberts","EDGE /ColumbusMiami, FL","EDGE",89.67,114000,4400,"miami hurricanes","ACC","smu mustangs","American","Yes",1
"371","Joe Evans","EDGE /AmesAmes, IA","EDGE",50,113000,3000,NA,NA,"recruits",NA,"No",0
"372","Desmond Umeozulu","EDGE /Charles Herbert FlowersUpper Marlboro, MD","EDGE",93.05,108000,12300,NA,NA,"south carolina gamecocks","SEC","No",0
"373","Kenyatta Jackson Jr.","EDGE /Chaminade-Madonna PrepHollywood, FL","EDGE",96.3,107000,12100,NA,NA,"ohio state buckeyes","Big Ten","No",0
"374","Byron Turner Jr.","EDGE /St. AugustineNew Orleans, LA","EDGE",89.33,106000,4000,NA,NA,"florida state seminoles","ACC","No",0
"375","Anthony Lucas","EDGE /ChaparralScottsdale, AZ","EDGE",96.35,104000,16400,"texas am aggies",NA,"usc trojans","Pac-12","Yes",1
"376","Marvin Jones Jr.","EDGE /American HeritageFort Lauderdale, FL","EDGE",97.5,104000,33000,NA,NA,"georgia bulldogs","SEC","No",0
"377","Jack Pyburn","EDGE /The Bolles SchoolJacksonville, FL","EDGE",87.55,104000,10800,NA,NA,"florida gators","SEC","No",0
"378","Fadil Diggs","EDGE /Woodrow WilsonCamden, NJ","EDGE",92.48,101000,10600,NA,NA,"texas a&m aggies","SEC","No",0
"379","Jamil Muhammad","EDGE /James ClemensMadison, AL","EDGE",84.63,100000,5900,"georgia state panthers","Sun Belt","usc trojans","Pac-12","Yes",1
"380","Elijah McAllister","EDGE /Rumson-Fair HavenRumson, NJ","EDGE",86.73,100000,9500,"vanderbilt commodores","SEC","auburn tigers","SEC","Yes",1
"381","Jalen McLeod","EDGE /Friendship Collegiate AcademyWashington, DC","EDGE",80.15,99000,7500,"appalachian state mountaineers","Sun Belt","auburn tigers","SEC","Yes",1
"382","Romello Height","EDGE /DublinDublin, GA","EDGE",89.67,98000,4400,NA,NA,"usc trojans","Pac-12","No",0
"383","Xavier Thomas","EDGE /IMG AcademyBradenton, FL","EDGE",99.33,98000,165000,NA,NA,"clemson tigers","ACC","No",0
"384","Blaise Gunnerson","EDGE /Kuemper Catholic School SystemCarroll, IA","EDGE",88.13,98000,10200,NA,NA,"nebraska cornhuskers","Big Ten","No",0
"385","Dani Dennis-Sutton","EDGE /McDonogh SchoolMillsboro, DE","EDGE",97.56,97000,17200,NA,NA,"penn state nittany lions","Big Ten","No",0
"386","T.J. Searcy","EDGE /Upson-LeeThomaston, GA","EDGE",91.34,97000,6100,NA,NA,"florida gators","SEC","No",0
"387","Chaz Chambliss","EDGE /CarrolltonCarrollton, GA","EDGE",89.52,94000,12600,NA,NA,"georgia bulldogs","SEC","No",0
"388","Adonijah Green","EDGE /Cedar GroveEllenwood, GA","EDGE",92.24,92000,3900,NA,NA,"louisville cardinals","ACC","No",0
"389","Bradyn Swinson","EDGE /Chapel HillDouglasville, GA","EDGE",88.07,91000,18600,"oregon ducks","Pac-12","lsu tigers","SEC","Yes",1
"390","Coziah Izzard","EDGE /DeMatha CatholicLaurel, MD","EDGE",90.63,89000,3400,NA,NA,"penn state nittany lions","Big Ten","No",0
"391","Jakivuan Brown","EDGE /Horn LakeHorn Lake, MS","EDGE",90.7,84000,6400,NA,NA,"ole miss rebels","SEC","No",0
"392","Ashton Porter","EDGE /Cy RanchCypress, TX","EDGE",91.42,82000,10700,NA,NA,"oregon ducks","Pac-12","No",0
"393","Princewill Umanmielen","EDGE /ManorManor, TX","EDGE",91.5,82000,5200,NA,NA,"nebraska cornhuskers","Big Ten","No",0
"394","Cedric Johnson","EDGE /WP DavidsonMobile, AL","EDGE",84.67,82000,3900,NA,NA,"ole miss rebels","SEC","No",0
"395","Ovie Oghoufo","EDGE /HarrisonFarmington, MI","EDGE",87.77,82000,8900,"texas longhorns","Big 12","lsu tigers","SEC","Yes",1
"396","David Ojiegbe","EDGE /St. John'sWashington, DC","EDGE",90.69,80000,12800,NA,NA,"clemson tigers","ACC","No",0
"397","Saivion Jones","EDGE /St. JamesSaint James, LA","EDGE",93.71,80000,6300,NA,NA,"lsu tigers","SEC","No",0
"398","Ethan Downs","EDGE /WeatherfordWeatherford, OK","EDGE",91.61,77000,25000,NA,NA,"oklahoma sooners","Big 12","No",0
"399","Kelvin Gilliam","EDGE /Highland SpringsHighland Springs, VA","EDGE",94.27,75000,17800,NA,NA,"oklahoma sooners","Big 12","No",0
"400","Trace Ford","EDGE /Santa FeEdmond, OK","EDGE",89.37,73000,19300,"oklahoma state cowboys","Big 12","oklahoma sooners","Big 12","Yes",1
"401","Tate Ratledge","IOL /Darlington SchoolRome, GA","IOL",96.25,504000,33000,NA,NA,"georgia bulldogs","SEC","No",0
"402","Matthew Jones","IOL /Erasmus HallBrooklyn, NY","IOL",94.86,484000,8400,NA,NA,"ohio state buckeyes","Big Ten","No",0
"403","Jackson Powers-Johnson","IOL /Corner CanyonDraper, UT","IOL",91.73,481000,32000,NA,NA,"oregon ducks","Pac-12","No",0
"404","Tyler Booker","IOL /IMG AcademyBradenton, FL","IOL",97.02,448000,30000,NA,NA,"alabama crimson tide","SEC","No",0
