"","Name","HighSchool","Position","Rating","NIL.Valuation","Followers","Last.Team","PastConf","New.Team","NewConf","didTransfer","binomialRep"
"40","Gavin Holmes","CB /Archbishop RummelMetairie, LA","CB",82.87,192000,3200,"wake forest demon deacons","ACC","texas longhorns","Big 12","Yes",1
"41","Ennis Rakestraw","CB /DuncanvilleDuncanville, TX","CB",84.7,187000,24000,NA,NA,"missouri tigers","SEC","No",0
"42","Fentrell Cypress","CB /NorthwesternRock Hill, SC","CB",85.23,182000,4200,"virginia cavaliers","ACC","florida state seminoles","ACC","Yes",1
"43","Ja'Keem Jackson","CB /OsceolaKissimmee, FL","CB",95.86,174000,15600,NA,NA,"florida gators","SEC","No",0
"44","Rodrick Pleasant","CB /Junipero SerraGardena, CA","CB",94.21,169000,26000,NA,NA,"oregon ducks","Pac-12","No",0
"45","Tacario Davis","CB /MillikanLong Beach, CA","CB",84.08,166000,2800,NA,NA,"arizona wildcats","Pac-12","No",0
"46","Javien Toviano","CB /MartinArlington, TX","CB",95.69,165000,27000,NA,NA,"lsu tigers","SEC","No",0
"47","Warren Roberson","CB /Red OakRed Oak, TX","CB",90.89,160000,2700,NA,NA,"texas longhorns","Big 12","No",0
"48","Bravion Rogers","CB /La GrangeLa Grange, TX","CB",94.27,160000,14800,NA,NA,"texas a&m aggies","SEC","No",0
"49","Jelani McDonald","CB /ConnallyWaco, TX","CB",95.03,160000,7200,NA,NA,"texas longhorns","Big 12","No",0
"50","Dorian Strong","CB /Dr. Henry WiseUpper Marlboro, MD","CB",82.23,150000,2300,NA,NA,"virginia tech hokies","ACC","No",0
"51","Jayvon Thomas","CB /South Oak CliffDallas, TX","CB",93.44,147000,6800,NA,NA,"texas a&m aggies","SEC","No",0
"52","Warren Burrell","CB /North GwinnettSuwanee, GA","CB",87.77,141000,11400,NA,NA,"tennessee volunteers","SEC","No",0
"53","Christian Charles","CB /ChestateeGainesville, GA","CB",88.77,138000,4700,NA,NA,"tennessee volunteers","SEC","No",0
"54","Jabbar Muhammad","CB /DeSotoDeSoto, TX","CB",83.8,137000,1600,"oklahoma state cowboys","Big 12","washington huskies","Pac-12","Yes",1
"55","Calvin Simpson-Hunt","CB /WaxahachieWaxahachie, TX","CB",95.69,134000,3400,NA,NA,"ohio state buckeyes","Big Ten","No",0
"56","Kayin Lee","CB /Cedar GroveEllenwood, GA","CB",93.56,134000,22000,NA,NA,"auburn tigers","SEC","No",0
"57","Ceyair Wright","CB /LoyolaLos Angeles, CA","CB",94.95,134000,68000,NA,NA,"usc trojans","Pac-12","No",0
"58","Davison Igbinosun","CB /UnionUnion, NJ","CB",92.79,132000,43000,"ole miss rebels","SEC","ohio state buckeyes","Big Ten","Yes",1
"59","Dijon Johnson","CB /WhartonTampa, FL","CB",93.69,132000,19700,NA,NA,"florida gators","SEC","No",0
"60","D'Angelo Ponds","CB /Chaminade-Madonna PrepMiami, FL","CB",82.99,132000,2800,NA,NA,"james madison dukes","Sun Belt","No",0
"61","Jacobe Johnson","CB /MustangMustang, OK","CB",93.48,131000,12600,NA,NA,"oklahoma sooners","Big 12","No",0
"62","Aydan White","CB /Christ SchoolArden, NC","CB",85.97,131000,2500,NA,NA,"nc state wolfpack","ACC","No",0
"63","Jaylon Braxton","CB /Lone StarFrisco, TX","CB",93.44,129000,19000,NA,NA,"arkansas razorbacks","SEC","No",0
"64","Jarrian Jones","CB /Northwest RankinFlowood, MS","CB",91.05,126000,33000,NA,NA,"recruits",NA,"No",0
"65","Daylen Austin","CB /Long Beach PolyLong Beach, CA","CB",93.93,126000,24000,NA,NA,"oregon ducks","Pac-12","No",0
"66","Jordan Matthews","CB /WoodlawnBaton Rouge, LA","CB",93.28,126000,14700,NA,NA,"tennessee volunteers","SEC","No",0
"67","Domani Jackson","CB /Mater DeiSanta Ana, CA","CB",98.57,124000,36000,NA,NA,"usc trojans","Pac-12","No",0
"68","Earl Little Jr.","CB /American HeritageFort Lauderdale, FL","CB",94.78,121000,30000,NA,NA,"alabama crimson tide","SEC","No",0
"69","Elliot Washington","CB /VeniceVenice, FL","CB",92.72,118000,29000,NA,NA,"penn state nittany lions","Big Ten","No",0
"70","Myles Jones","CB /Magnolia WestMagnolia, TX","CB",89.03,118000,128000,"texas am aggies",NA,"duke blue devils","ACC","Yes",1
"71","Greedy Vance","CB /Edna KarrNew Orleans, LA","CB",87.13,118000,19400,NA,NA,"florida state seminoles","ACC","No",0
"72","Christian Gray","CB /DeSmetSaint Louis, MO","CB",93.82,116000,6800,NA,NA,"notre dame fighting irish","Independent","No",0
"73","Jordan Hancock","CB /North GwinnettSuwanee, GA","CB",95.58,114000,24000,NA,NA,"ohio state buckeyes","Big Ten","No",0
"74","Tony Grimes","CB /Princess AnneVirginia Beach, VA","CB",97.64,113000,30000,"north carolina tar heels","ACC","texas a&m aggies","SEC","Yes",1
"75","Devonta Smith","CB /La SalleCincinnati, OH","CB",91.54,113000,18900,NA,NA,"alabama crimson tide","SEC","No",0
"76","Jyaire Hill","CB /KankakeeKankakee, IL","CB",92.68,113000,13000,NA,NA,"michigan wolverines","Big Ten","No",0
"77","Jaydon Hill","CB /Bob Jones Madison, AL","CB",90.55,112000,25000,NA,NA,"florida gators","SEC","No",0
"78","Aaron Williams","CB /St. John BoscoCorona, CA","CB",92.19,111000,25000,NA,NA,"louisville cardinals","ACC","No",0
"79","Jason Marshall","CB /Miami PalmettoMiami, FL","CB",96.88,111000,23000,NA,NA,"florida gators","SEC","No",0
"80","Daniel Harris","CB /Gulliver PrepMiami, FL","CB",92.74,111000,9800,NA,NA,"georgia bulldogs","SEC","No",0
"81","Deuce Harmon","CB /GuyerDenton, TX","CB",92.53,111000,74000,NA,NA,"texas a&m aggies","SEC","No",0
"82","Renardo Green","CB /WekivaApopka, FL","CB",89,110000,10000,NA,NA,"florida state seminoles","ACC","No",0
"83","Kristian Story","CB /LanettLanett, AL","CB",91.75,109000,14400,NA,NA,"alabama crimson tide","SEC","No",0
"84","Shyheim Brown","CB /ColumbiaLake City, FL","CB",84.67,109000,8000,NA,NA,"florida state seminoles","ACC","No",0
"85","Akeem Dent","CB /Palm Beach CentralWest Palm Beach, FL","CB",95.89,108000,6200,NA,NA,"florida state seminoles","ACC","No",0
"86","Keionte Scott","CB /HelixLa Mesa, CA","CB",92.62,108000,19300,NA,NA,"auburn tigers","SEC","No",0
"87","Robert Stafford","CB /Eau GallieMelbourne, FL","CB",92.88,107000,8400,NA,NA,"miami hurricanes","ACC","No",0
"88","J.D. Rhym","CB /ValdostaValdosta, GA","CB",92.81,106000,15300,NA,NA,"auburn tigers","SEC","No",0
"89","Devin Moore","CB /NaplesNaples, FL","CB",91.88,106000,16000,NA,NA,"florida gators","SEC","No",0
"90","Kevin Knowles II","CB /McArthurHollywood, FL","CB",88.21,105000,4300,NA,NA,"florida state seminoles","ACC","No",0
"91","Chris Peal","CB /Providence Day SchoolCharlotte, NC","CB",92.68,105000,3600,NA,NA,"georgia bulldogs","SEC","No",0
"92","Tyreek Chappell","CB /NortheastPhiladelphia, PA","CB",88.55,105000,13300,NA,NA,"texas a&m aggies","SEC","No",0
"93","Nehemiah Pritchett","CB /JacksonJackson, AL","CB",88.4,105000,13900,NA,NA,"auburn tigers","SEC","No",0
"94","Ra'Mello Dotson","CB /MainlandDaytona Beach, FL","CB",81.75,104000,6200,NA,NA,"kansas jayhawks","Big 12","No",0
"95","DeShawn Gaddie Jr.","CB /LamarArlington, TX","CB",82.6,103000,160000,"north texas mean green","American","ole miss rebels","SEC","Yes",1
"96","Jalen Kimber","CB /Mansfield TimberviewArlington, TX","CB",93.46,103000,12200,NA,NA,"florida gators","SEC","No",0
"97","Lance Robinson","CB /De La SalleNew Orleans, LA","CB",83.83,103000,8600,"houston cougars","Big 12","kansas state wildcats","Big 12","Yes",1
"98","Sharif Denson","CB /Bartram TrailJacksonville, FL","CB",91.1,102000,19000,NA,NA,"florida gators","SEC","No",0
"99","Quinton Newsome","CB /North GwinnettSuwanee, GA","CB",87.67,100000,12200,NA,NA,"nebraska cornhuskers","Big Ten","No",0
"100","Daylen Everette","CB /IMG AcademyBradenton, FL","CB",96.92,99000,36000,NA,NA,"georgia bulldogs","SEC","No",0
"101","Harold Perkins","LB /Cy ParkCypress, TX","LB",98.41,558000,58000,NA,NA,"lsu tigers","SEC","No",0
"102","Anthony Hill","LB /RyanDenton, TX","LB",97.87,497000,40000,NA,NA,"texas longhorns","Big 12","No",0
"103","Edgerrin Cooper","LB /CovingtonCovington, LA","LB",92.38,495000,41000,NA,NA,"texas a&m aggies","SEC","No",0
"104","Justin Flowe","LB /UplandUpland, CA","LB",99.05,445000,503000,"oregon ducks","Pac-12","arizona wildcats","Pac-12","Yes",1
