"","Last Team","New Team","total_nil_valuation","avg_valuation","number_athletes","CurrentConference.x","address_last","lat_last","long_last","CurrentConference.y","address_new","lat_new","long_new"
"103","virginia cavaliers","nebraska cornhuskers",101000,101000,1,"ACC","Charlottesville, VA",38.029306,-78.4766781,"Big Ten","Lincoln, NE",40.8088861,-96.7077751
"104","vanderbilt commodores","auburn tigers",100000,100000,1,"SEC","Nashville, TN",36.1622767,-86.7742984,"SEC","Auburn, AL",32.6405377,-85.4626848
"105","appalachian state mountaineers","auburn tigers",99000,99000,1,"Sun Belt","Boone, NC",36.2165362,-81.6746158,"SEC","Auburn, AL",32.6405377,-85.4626848
"106","utep miners","florida state seminoles",99000,99000,1,"C-USA","El Paso, TX",31.7550511,-106.488234,"ACC","Tallahassee, FL",30.4380832,-84.2809332
"107","florida gators","cincinnati bearcats",98000,98000,1,"SEC","Gainesville, FL",29.6519684,-82.3249846,"Big 12","Cincinnati, OH",39.1014537,-84.5124602
"108","mississippi state bulldogs","georgia bulldogs",98000,98000,1,"SEC","Mississippi State[n 14], MS",30.3818646,-89.0439248,"SEC","Athens, GA",33.9597677,-83.376398
"109","alabama crimson tide","florida gators",94000,94000,1,"SEC","Tuscaloosa, AL",33.2095614,-87.5675258,"SEC","Gainesville, FL",29.6519684,-82.3249846
"110","missouri tigers","georgia bulldogs",94000,94000,1,"SEC","Columbia, MO",38.951883,-92.3337366,"SEC","Athens, GA",33.9597677,-83.376398
"111","purdue boilermakers","usc trojans",94000,94000,1,"Big Ten","West Lafayette, IN",40.4258686,-86.9080655,"Pac-12[n 19]","Los Angeles, CA",34.0536909,-118.242766
"112","kentucky wildcats","auburn tigers",93000,93000,1,"SEC","Lexington, KY",38.0464066,-84.4970393,"SEC","Auburn, AL",32.6405377,-85.4626848
"113","louisville cardinals","florida gators",93000,93000,1,"ACC","Louisville, KY",38.2542376,-85.759407,"SEC","Gainesville, FL",29.6519684,-82.3249846
"114","unlv rebels","louisville cardinals",93000,93000,1,"Mountain West","Las Vegas[n 29], NV",36.1672559,-115.148516,"ACC","Louisville, KY",38.2542376,-85.759407
"115","kent state golden flashes","penn state nittany lions",92000,92000,1,"MAC","Kent, OH",41.1513108,-81.3578047,"Big Ten","University Park[n 20], PA",34.7406465,-86.6230495
"116","alabama crimson tide","lsu tigers",91000,91000,1,"SEC","Tuscaloosa, AL",33.2095614,-87.5675258,"SEC","Baton Rouge, LA",30.4494155,-91.1869659
"117","oregon ducks","lsu tigers",91000,91000,1,"Pac-12[n 19]","Eugene, OR",44.0505054,-123.0950506,"SEC","Baton Rouge, LA",30.4494155,-91.1869659
"118","east carolina pirates","auburn tigers",90000,90000,1,"American","Greenville, NC",35.613224,-77.3724593,"SEC","Auburn, AL",32.6405377,-85.4626848
"119","arizona state sun devils","nebraska cornhuskers",89000,89000,1,"Pac-12[n 3]","Tempe, AZ",33.4255117,-111.9400164,"Big Ten","Lincoln, NE",40.8088861,-96.7077751
"120","kansas jayhawks","hawaii rainbow warriors",88000,88000,1,"Big 12","Lawrence, KS",38.9719384,-95.2359496,"Mountain West[n 9]","Honolulu, HI",21.304547,-157.855676
"121","louisville cardinals","ole miss rebels",88000,88000,1,"ACC","Louisville, KY",38.2542376,-85.759407,"SEC","University[n 18], MS",43.7978613,-79.3919089889469
