"","X.x","team","total_nil_valuation","avg_valuation","avg_rating","total_followers","avg_followers","number_athletes","X.y","wins","losses","ties","win_percentage_change"
"62",69,"Memphis Tigers",489000,163000,82.53,9000,3000,3,65,112,18,0,1.09999999999999
"63",71,"Marshall Thundering Herd",452000,226000,0,5899,2949.5,2,45,78,46,0,5.40000000000001
"64",73,"Colorado State Rams",422000,211000,79.39,10153,5076.5,2,118,37,80,0,-12.3
"65",74,"Vanderbilt Commodores",370000,185000,86.38,17200,8600,2,121,80,47,0,-13.9
"66",75,"Virginia Cavaliers",338000,338000,85.6,2700,2700,1,110,48,69,0,-10.2
"67",76,"Appalachian State Mountaineers",324000,162000,43.52,2800,1400,2,54,48,73,0,3.3
"68",77,"Jacksonville State Gamecocks",288000,288000,97.64,3300,3300,1,41,27,19,0,6.40000000000001
"69",78,"California Golden Bears",280000,140000,88.44,20700,10350,2,105,95,35,0,-8.5
"70",79,"Western Kentucky Hilltoppers",273000,273000,77.77,4300,4300,1,43,84,41,0,6.2
"71",80,"Baylor Bears",262000,262000,87.1,3600,3600,1,48,81,48,0,4.8
"72",81,"Uab Blazers",261000,130500,89.5,4800,2400,2,71,80,47,0,-0.399999999999999
"73",83,"Rice Owls",260000,260000,97.81,101000,101000,1,104,72,52,0,-7.7
"74",84,"South Alabama Jaguars",253000,253000,80.96,108,108,1,56,55,67,0,2.6
"75",85,"Boston College Eagles",223000,111500,46.02,6700,3350,2,99,1,6,0,-6.7
"76",86,"Houston Cougars",223000,223000,85.27,13800,13800,1,22,27,83,0,13.7
"77",87,"Western Michigan Broncos",195000,97500,0,2170,1085,2,85,53,67,0,-2.8
"78",88,"Temple Owls",185000,185000,81.78,3400,3400,1,127,68,55,0,-17.7
"79",89,"Indiana Hoosiers",164000,164000,82.2,5700,5700,1,125,78,52,0,-17.2
"80",90,"Georgia Southern Eagles",141000,141000,82.8,4600,4600,1,95,43,75,0,-5.9
"81",92,"Charlotte 49ers",123000,123000,99.55,29000,29000,1,117,50,69,0,-12.2
"82",93,"Buffalo Bulls",114000,114000,82.87,3300,3300,1,96,53,70,0,-6
"83",94,"Tulsa Golden Hurricane",109000,109000,91.01,4800,4800,1,83,43,77,0,-2
"84",97,"Northern Illinois Huskies",81000,81000,83.48,714,714,1,87,71,54,0,-3
