"","Name","High School","Position","Rating","College","NIL Valuation","Followers"
"128","Morice Blackwell","LB /MartinArlington, TX","LB",90.41,"Texas Longhorns",199000,18000
"129","Ty'Ron Hopper","LB /RoswellRoswell, GA","LB",94.91,"Missouri Tigers",195000,13600
"130","Jett Bush","LB /Strake JesuitHouston, TX","LB",77.55,"Texas Longhorns",195000,15600
"131","Steele Chambers","LB /Blessed Trinity CatholicRoswell, GA","LB",91.58,"Ohio State Buckeyes",194000,12800
"132","David Gbenda","LB /Cinco RanchKaty, TX","LB",92.4,"Texas Longhorns",192000,2800
"133","Francisco Mauigoa","LB /TafunaIli’ili, AS","LB",82.83,"Miami Hurricanes",191000,3100
"134","Trezmen Marshall","LB /Clinch CountyHomerville, GA","LB",93.12,"Alabama Crimson Tide",191000,12100
"135","Derion Gullette","LB /TeagueMarlin, TX","LB",93.34,"Texas Longhorns",188000,14500
"136","Maema Njongmeta","LB /Adlai StevensonLincolnshire, IL","LB",88.67,"Wisconsin Badgers",187000,4400
"137","Jamon Dumas-Johnson","LB /St. Frances AcademyBaltimore, MD","LB",91.17,"Georgia Bulldogs",175000,10200
"138","Junior Colson","LB /RavenwoodBrentwood, TN","LB",94.49,"Michigan Wolverines",172000,38000
"139","Marist Liufau","LB /PunahouHonolulu, HI","LB",88.73,"Notre Dame Fighting Irish",165000,9900
"140","Luke Reimer","LB /North StarLincoln, NE","LB",0,"Nebraska Cornhuskers",164000,6900
"141","Power Echols","LB /Julius L. ChambersCharlotte, NC","LB",92.6,"North Carolina Tar Heels",157000,9500
"142","Shemar James","LB /Faith AcademyMobile, AL","LB",95.78,"Florida Gators",156000,16600
"143","CJ Allen","LB /Lamar County ComprehensiveBarnesville, GA","LB",94.91,"Georgia Bulldogs",155000,24000
"144","Darius Muasau","LB /MililaniMililani, HI","LB",77.82,"Ucla Bruins",149000,2700
"145","Troy Bowles","LB /JesuitTampa, FL","LB",94.55,"Georgia Bulldogs",149000,23000
"146","Tackett Curtis","LB /ManyMany, LA","LB",93.62,"Usc Trojans",148000,11100
"147","Jihaad Campbell","LB /IMG AcademyBradenton, FL","LB",97.82,"Alabama Crimson Tide",146000,22000
"148","Tony Rojas","LB /FairfaxFairfax, VA","LB",94.45,"Penn State Nittany Lions",146000,18300
"149","Jay Higgins","LB /Brebeuf JesuitIndianapolis, IN","LB",81.6,"Iowa Hawkeyes",145000,6700
"150","Samuel Omosigho","LB /CrandallCrandall, TX","LB",95.31,"Oklahoma Sooners",145000,14800
"151","Kendrick Blackshire","LB /DuncanvilleDuncanville, TX","LB",91.95,"Alabama Crimson Tide",140000,72000
"152","Elijah Herring","LB /RiverdaleMurfreesboro, TN","LB",86.47,"Tennessee Volunteers",138000,5800
"153","Kalib Perry","LB /Great CrossingGeorgetown, KY","LB",86.17,"Tennessee Volunteers",138000,3900
"154","TJ Capers","LB /ColumbusMiami, FL","LB",93.27,"Louisville Cardinals",137000,24000
"155","Drayk Bowen","LB /AndreanMerrillville, IN","LB",94.14,"Notre Dame Fighting Irish",132000,32000
"156","Ashanti Cistrunk","LB /LouisvilleLouisville, MS","LB",86.8,"Recruits",131000,4300
"157","Arion Carter","LB /SmyrnaSmyrna, TN","LB",93.57,"Tennessee Volunteers",128000,5800
"158","Teradja Mitchell","LB /BaysideVirginia Beach, VA","LB",96.34,"Florida Gators",126000,48000
"159","Jack Kiser","LB /PioneerRoyal Center, IN","LB",89.01,"Notre Dame Fighting Irish",124000,7500
"160","Malik Bryant","LB /JonesOrlando, FL","LB",92.14,"Miami Hurricanes",118000,43000
"161","Whit Weeks","LB /Oconee CountyWatkinsville, GA","LB",93.05,"Lsu Tigers",115000,4400
"162","Kalen DeLoach","LB /IslandsSavannah, GA","LB",91.02,"Florida State Seminoles",114000,16000
"163","Derek Wingo","LB /St. Thomas AquinasFort Lauderdale, FL","LB",95.83,"Florida Gators",113000,29000
"164","Jamal Anderson","LB /Mill CreekHoschton, GA","LB",92.12,"Clemson Tigers",113000,13300
"165","Lewis Carter","LB /Tampa CatholicTampa, FL","LB",92.54,"Oklahoma Sooners",112000,14400
"166","Tatum Bethune","LB /Miami CentralMiami, FL","LB",82.53,"Florida State Seminoles",111000,9000
"167","Jaren Kanak","LB /HaysHays, KS","LB",93.03,"Oklahoma Sooners",111000,192000
"168","Jordan Hall","LB /IMG AcademyFredericksburg, VA","LB",92.17,"Michigan State Spartans",111000,13600
"169","Cody Simon","LB /St. Peters PrepJersey City, NJ","LB",95.19,"Ohio State Buckeyes",111000,15500
"170","Omar Graham Jr.","LB /StranahanFort Lauderdale, FL","LB",87.53,"Florida State Seminoles",110000,21000
"171","Lander Barton","LB /BrightonSalt Lake City, UT","LB",95.4,"Utah Utes",108000,4400
"172","Mason Cobb","LB /ProvoProvo, UT","LB",83.4,"Usc Trojans",107000,15900
"173","MJ Sherman","LB /St. John'sBaltimore, MD","LB",96.56,"Nebraska Cornhuskers",106000,22000
"174","Keon Wylie","LB /Imhotep InstitutePhiladelphia, PA","LB",88.05,"Penn State Nittany Lions",104000,20000
"175","Johnny Hodges","LB /Quince OrchardGaithersburg, MD","LB",0,"Recruits",104000,3100
"176","Austin Keys","LB /SeminarySeminary, MS","LB",85.55,"Auburn Tigers",103000,17100
"177","Blake Nichelson","LB /MantecaRipon, CA","LB",92.49,"Florida State Seminoles",101000,16600
"178","Jalon Walker","LB /SalisburySalisbury, NC","LB",96.07,"Georgia Bulldogs",101000,23000
"179","Cam Riley","LB /HillcrestEvergreen, AL","LB",90.69,"Auburn Tigers",101000,9400
"180","Wesley Steiner","LB /Houston CountyWarner Robins, GA","LB",93.86,"Auburn Tigers",1e+05,8400
"181","Arvell Reese","LB /GlenvilleCleveland, OH","LB",92.26,"Ohio State Buckeyes",99000,6800
"182","Brian Holloway","LB /Clear LakeHouston, TX","LB",0,"Texas State Bobcats",99000,603
"183","Eric Gentry","LB /Neumann GorettiPhiladelphia, PA","LB",87.22,"Usc Trojans",97000,1800
"184","Chris Russell","LB /DyersburgDyersburg, TN","LB",85.3,"Texas Am Aggies",96000,3300
"185","DJ Lundy","LB /Irwin CountyOcilla, GA","LB",84.7,"Florida State Seminoles",96000,4000
"186","Nick Henrich","LB /BurkeOmaha, NE","LB",93.37,"Nebraska Cornhuskers",96000,7500
"187","Kobe King","LB /Cass TechnicalDetroit, MI","LB",88.1,"Penn State Nittany Lions",95000,10800
"188","Xavian Sorey","LB /IMG AcademyBradenton, FL","LB",96.09,"Georgia Bulldogs",95000,13600
"189","Jaiden Ausberry","LB /University LabBaton Rouge, LA","LB",92.39,"Notre Dame Fighting Irish",94000,10700
"190","Dominic DeLuca","LB /WyomingPittston, PA","LB",0,"Recruits",94000,8700
"191","Grayson Howard","LB /Andrew JacksonJacksonville, FL","LB",92.3,"South Carolina Gamecocks",93000,14400
"192","Ta'Mere Robinson","LB /BrashearPittsburgh, PA","LB",91.19,"Penn State Nittany Lions",93000,14800
"193","Jaishawn Barham","LB /St. Frances AcademyDistrict Heights, MD","LB",93.23,"Maryland Terrapins",92000,7700
"194","Tyler Elsdon","LB /North SchuylkillFrackville, PA","LB",86.93,"Penn State Nittany Lions",91000,5400
"195","Quandarrius Robinson","LB /Jackson-OlinBirmingham, AL","LB",94.82,"Alabama Crimson Tide",89000,10800
"196","Khari Coleman","LB /G.W. CarverNew Orleans, LA","LB",86.83,"Ole Miss Rebels",89000,12600
"197","S'Maje Burrell","LB /North CrowleyFort Worth, TX","LB",90.17,"Texas Longhorns",89000,10300
"198","Darris Smith","LB /Appling CountyBaxley, GA","LB",93.95,"Georgia Bulldogs",89000,6300
"199","Monty Montgomery","LB /NorcrossNorcross, GA","LB",81.1,"Ole Miss Rebels",87000,10100
"200","Larry Nixon III","LB /RichlandNorth Richland Hills, TX","LB",78,"Auburn Tigers",85000,1500
"201","Byron Murphy II","DL /DeSotoDeSoto, TX","DL",89.53,"Texas Longhorns",555000,28000
"202","Walter Nolen","DL /PowellPowell, TN","DL",99.59,"Texas Am Aggies",541000,33000
"203","Jer'Zhan Newton","DL /Clearwater Central CatholicClearwater, FL","DL",83.8,"Illinois Fighting Illini",502000,6500
"204","Howard Cross","DL /St. Joseph Regional Montvale, NJ","DL",90,"Notre Dame Fighting Irish",499000,4600
"205","Bear Alexander","DL /IMG AcademyDenton, TX","DL",96.33,"Usc Trojans",464000,43000
"206","James Thompson Jr.","DL /Roger BaconCincinnati, OH","DL",82.6,"Wisconsin Badgers",451000,1800
"207","David Hicks","DL /PaetowKaty, TX","DL",98.98,"Texas Am Aggies",437000,24000
"208","Deone Walker","DL /Cass TechnicalDetroit, MI","DL",90.52,"Kentucky Wildcats",422000,11600
"209","Mekhi Wingo","DL /DeSmetSaint Louis, MO","DL",87.13,"Lsu Tigers",422000,11700
"210","T'Vondre Sweat","DL /HuntsvilleHuntsville, TX","DL",86.9,"Texas Longhorns",417000,14200
"211","T.J. Sanders","DL /MarionMarion, SC","DL",86.23,"South Carolina Gamecocks",391000,4400
"212","Mike Hall","DL /StreetsboroStreetsboro, OH","DL",95.56,"Ohio State Buckeyes",360000,29000
"213","Tyleik Williams","DL /Unity ReedManassas, VA","DL",92.67,"Ohio State Buckeyes",342000,18800
"214","Keith Randolph","DL /Belleville WestBelleville, IL","DL",87.13,"Illinois Fighting Illini",342000,8800
"215","Lee Hunter","DL /BlountEight Mile, AL","DL",94.34,"Ucf Knights",338000,15400
"216","Peter Woods","DL /ThompsonAlabaster, AL","DL",97.65,"Clemson Tigers",327000,30000
"217","Rylie Mills","DL /Lake ForestLake Forest, IL","DL",91.44,"Notre Dame Fighting Irish",320000,8100
"218","Dennis Briggs","DL /GatewayKissimmee, FL","DL",90.29,"Florida State Seminoles",297000,5400
"219","Patrick Jenkins","DL /John EhretMarrero, LA","DL",91.76,"Tulane Green Wave",294000,3800
"220","Dontay Corleone","DL /ColerainCincinnati, OH","DL",81.45,"Cincinnati Bearcats",281000,2900
"221","James Smith","DL /Carver Montgomery, AL","DL",97.38,"Alabama Crimson Tide",280000,9400
"222","Jaylon Hutchings","DL /ForneyForney, TX","DL",80.15,"Texas Tech Red Raiders",249000,3500
"223","Leonard Taylor","DL /Miami PalmettoMiami, FL","DL",98.68,"Miami Hurricanes",244000,29000
"224","DeWayne Carter","DL /Pickerington CentralPickerington, OH","DL",88.37,"Duke Blue Devils",240000,28000
"225","Jordan Hall","DL /WestsideJacksonville, FL","DL",97.33,"Georgia Bulldogs",239000,17500
"226","Mason Graham","DL /ServiteAnaheim, CA","DL",90.19,"Michigan Wolverines",238000,5600
"227","Jon Seaton","DL /HillsboroughHillsborough, NJ","DL",0,"Recruits",232000,1900000
"228","Kris Jenkins","DL /Our Lady Good Counsel HSOlney, MD","DL",88.07,"Michigan Wolverines",225000,11700
"229","Jared Ivey","DL /North GwinnettSuwanee, GA","DL",89.89,"Ole Miss Rebels",216000,5700
"230","Matayo Uiagalelei","DL /St. John BoscoBellflower, CA","DL",96.57,"Oregon Ducks",208000,40000
"231","Daevin Hobbs","DL /Jay M RobinsonConcord, NC","DL",96.17,"Tennessee Volunteers",207000,13100
"232","McKinnley Jackson","DL /George CountyLucedale, MS","DL",94.57,"Texas Am Aggies",205000,9300
"233","Darius Alexander","DL /WayneFort Wayne, IN","DL",78.77,"Toledo Rockets",202000,310
"234","Alfred Collins","DL /Cedar CreekBastrop, TX","DL",94.63,"Texas Longhorns",186000,10300
"235","Vernon Broughton","DL /Cy RidgeHouston, TX","DL",93.51,"Texas Longhorns",184000,7300
"236","Braden Fiske","DL /Michigan CityMichigan City, IN","DL",79.32,"Florida State Seminoles",182000,3100
"237","Tyler Davis","DL /WekivaApopka, FL","DL",92.72,"Clemson Tigers",181000,11000
"238","Nash Hutmacher","DL /ChamberlainChamberlain, SD","DL",0,"Nebraska Cornhuskers",163000,15900
"239","Judge Culpepper","DL /PlantTampa, FL","DL",88.7,"Toledo Rockets",161000,2200
"240","Nathan Pickering","DL /SeminarySeminary, MS","DL",94.53,"Mississippi State Bulldogs",157000,17700
"241","Jamree Kromah","DL /Charles Herbert FlowersUpper Marlboro, MD","DL",79.15,"Recruits",155000,1300
"242","Jordan Renaud","DL /Tyler LegacyTyler, TX","DL",95.28,"Alabama Crimson Tide",152000,6200
"243","Rueben Bain","DL /Miami CentralMiami, FL","DL",95.7,"Miami Hurricanes",144000,20000
"244","Sydir Mitchell","DL /Bergen CatholicOradell, NJ","DL",91.59,"Texas Longhorns",144000,14100
"245","Omari Thomas","DL /Briarcrest ChristianMemphis, TN","DL",94.21,"Tennessee Volunteers",138000,37000
"246","Vic Burley","DL /Warner RobinsWarner Robins, GA","DL",95.17,"Clemson Tigers",136000,13200
"247","Elijah Simmons","DL /Pearl-CohnNashville, TN","DL",87.47,"Tennessee Volunteers",136000,17800
"248","Hunter Osborne","DL /Hewitt-TrussvilleTrussville, AL","DL",92.51,"Alabama Crimson Tide",135000,28000
"249","Jason Moore","DL /DeMatha CatholicFort Washington, MD","DL",95.53,"Ohio State Buckeyes",132000,16000
"250","Kurott Garland","DL /HeritageConyers, GA","DL",83,"Tennessee Volunteers",130000,4100
"251","Keldric Faulk","DL /Highland HomeHighland Home, AL","DL",95.46,"Auburn Tigers",130000,12300
"252","Anthony Franklin","DL /PinnaclePhoenix, AZ","DL",81.57,"Stanford Cardinal",127000,1700
"253","Maason Smith","DL /TerrebonneHouma, LA","DL",98.04,"Lsu Tigers",125000,26000
"254","Dominic Bailey","DL /St. Frances AcademyBaltimore, MD","DL",91,"Tennessee Volunteers",124000,5100
"255","Jelani Stafford","DL /California AreaCoal Center, PA","DL",0,"Connecticut Huskies",124000,1000
"256","Andrew Depaepe","DL /Pleasant ValleyBettendorf, IA","DL",93.71,"Michigan State Spartans",124000,9000
"257","Stephiylan Green","DL /RomeRome, GA","DL",93.99,"Clemson Tigers",123000,5200
"258","Edric Hill","DL /North Kansas CityKansas City, MO","DL",92.53,"Alabama Crimson Tide",121000,3500
"259","Enow Etta","DL /Covenant Christian AcademyColleyville, TX","DL",93.59,"Michigan Wolverines",120000,6900
"260","Tony Bradford","DL /North ShoreHouston, TX","DL",82.97,"Texas Tech Red Raiders",117000,3800
"261","John Walker","DL /OsceolaKissimmee, FL","DL",94.2,"Ucf Knights",117000,8000
"262","Jowon Briggs","DL /Walnut HillsCincinnati, OH","DL",94.52,"Recruits",111000,4300
"263","Jordan Guerad","DL /BloomingdaleValrico, FL","DL",0,"Fiu Golden Panthers",111000,1400
"264","Ruke Orhorhoro","DL /River RougeRiver Rouge, MI","DL",86.23,"Clemson Tigers",109000,21000
"265","Desmond Watson","DL /ArmwoodSeffner, FL","DL",89.33,"Florida Gators",108000,36000
"266","Tyler Onyedim","DL /FosterRichmond, TX","DL",82.23,"Iowa State Cyclones",107000,2400
"267","Ty Hamilton","DL /Pickerington CentralPickerington, OH","DL",85.9,"Ohio State Buckeyes",106000,108000
"268","Mario Kendricks","DL /OsceolaKissimmee, FL","DL",84.97,"Virginia Tech Hokies",106000,5900
"269","Fabien Lovett","DL /Olive BranchOlive Branch, MS","DL",88.73,"Recruits",105000,15700
"270","Jamaal Jarrett","DL /GrimsleyGreensboro, NC","DL",92.39,"Georgia Bulldogs",103000,33000
"271","Will Norman","DL /EastsideCamden, NJ","DL",91.93,"Florida Gators",102000,40000
"272","Darrell Jackson","DL /Gadsden CountyHavana, FL","DL",85.93,"Florida State Seminoles",101000,7900
"273","Shemar Stewart","DL /Monsignor PaceOpa Locka, FL","DL",98.56,"Texas Am Aggies",1e+05,32000
"274","Gilber Edmond","DL /Fort Pierce WestwoodFort Pierce, FL","DL",82.53,"Florida State Seminoles",1e+05,4500
"275","LT Overton","DL /MiltonAlpharetta, GA","DL",98.24,"Texas Am Aggies",98000,23000
"276","Markis Deal","DL /Naaman ForestGarland, TX","DL",93.47,"Tcu Horned Frogs",97000,4300
"277","Chris McClellan","DL /OwassoOwasso, OK","DL",93.84,"Florida Gators",95000,14800
"278","Kyon Barrs","DL /Murrieta MesaMurrieta, CA","DL",0,"Usc Trojans",95000,6400
"279","Marcus Harris","DL /Park CrossingMontgomery, AL","DL",80.77,"Recruits",95000,12100
"280","Tyreak Sapp","DL /St. Thomas AquinasFort Lauderdale, FL","DL",93.39,"Florida Gators",95000,9200
"281","Jack Sullivan","DL /Plainfield EastPlainfield, IL","DL",82.87,"Usc Trojans",94000,1700
"282","Realus George Jr.","DL /Pace AcademyAtlanta, GA","DL",81.5,"Missouri Tigers",93000,13200
"283","Justin Rogers","DL /Oak ParkOak Park, MI","DL",96.05,"Auburn Tigers",93000,14300
"284","Albert Regis","DL /La PorteLa Porte, TX","DL",88.63,"Texas Am Aggies",93000,50000
"285","Caleb Banks","DL /SouthfieldSouthfield, MI","DL",84.1,"Florida Gators",93000,5100
"286","Isaiah Raikes","DL /St. Augustine PrepRichland, NJ","DL",89.02,"Texas Am Aggies",92000,18700
"287","Nazir Stackhouse","DL /ColumbiaDecatur, GA","DL",90.78,"Georgia Bulldogs",92000,76000
"288","Jayson Jones","DL /CaleraCalera, AL","DL",89.7,"Auburn Tigers",91000,10200
"289","Zykeivous Walker","DL /Schley CountyEllaville, GA","DL",94.49,"Recruits",91000,6900
"290","Darron Reed","DL /CarverColumbus, GA","DL",92.44,"Auburn Tigers",91000,4900
"291","Warren Brinson","DL /IMG AcademyBradenton, FL","DL",90.3,"Georgia Bulldogs",91000,25000
"292","Ty Robinson","DL /HigleyGilbert, AZ","DL",92.61,"Nebraska Cornhuskers",91000,10600
"293","Stanley Ta'ufo'ou","DL /Grace BrethrenSimi Valley, CA","DL",86.2,"Usc Trojans",91000,439
"294","Brenan Vernon","DL /MentorMentor, OH","DL",92.44,"Notre Dame Fighting Irish",90000,2800
"295","Ru'Quan Buckley","DL /Godwin Heights SeniorWyoming, MI","DL",87.73,"Nebraska Cornhuskers",89000,5600
"296","Mosiah Nasili-Kite","DL /Emerald RidgePuyallup, WA","DL",84.03,"Auburn Tigers",88000,788
"297","Jadon Scarlett","DL /ArgyleFlower Mound, TX","DL",89.61,"Texas Am Aggies",88000,3800
"298","Aaron Bryant","DL /SouthavenSouthaven, MS","DL",90.08,"Texas Longhorns",88000,2400
"299","Zion Logue","DL /LebanonLebanon, TN","DL",89.4,"Georgia Bulldogs",88000,18800
"300","Tyrion Ingram-Dawkins","DL /GaffneyGaffney, SC","DL",93.96,"Georgia Bulldogs",86000,17500
"301","Dallas Turner","EDGE /St. Thomas AquinasFort Lauderdale, FL","EDGE",98.61,"Alabama Crimson Tide",801000,42000
"302","Laiatu Latu","EDGE /JesuitCarmichael, CA","EDGE",93.63,"Ucla Bruins",730000,6000
"303","Jared Verse","EDGE /Central ColumbiaBloomsburg, PA","EDGE",0,"Florida State Seminoles",724000,73000
"304","Kaimon Rucker","EDGE /Hart CountyHartwell, GA","EDGE",83.7,"North Carolina Tar Heels",677000,6600
"305","Chris Braswell","EDGE /St. Frances AcademyBaltimore, MD","EDGE",98.09,"Alabama Crimson Tide",660000,16600
"306","Jonah Elliss","EDGE /Moscow SeniorMoscow, ID","EDGE",83.53,"Utah Utes",636000,1800
"307","James Pearce","EDGE /Julius L. ChambersCharlotte, NC","EDGE",93.46,"Tennessee Volunteers",6e+05,9000
"308","Solomon Byrd","EDGE /William KnightPalmdale, CA","EDGE",77.32,"Usc Trojans",577000,2700
"309","Jalen Green","EDGE /Good CounselOlney, MD","EDGE",0,"James Madison Dukes",521000,2300
"310","Jamil Muhammad","EDGE /James ClemensMadison, AL","EDGE",84.63,"Usc Trojans",486000,5900
"311","Kydran Jenkins","EDGE /Jefferson CountyLouisville, GA","EDGE",84.03,"Purdue Boilermakers",475000,0
"312","Tyler Baron","EDGE /Knoxville CatholicKnoxville, TN","EDGE",93.65,"Recruits",455000,31000
"313","Keon Keeley","EDGE /Berkeley PrepTampa, FL","EDGE",99.35,"Alabama Crimson Tide",453000,24000
"314","Grayson Murphy","EDGE /Bishop LynchDallas, TX","EDGE",82.9,"Ucla Bruins",448000,2400
"315","Ashton Gillotte","EDGE /Boca RatonBoca Raton, FL","EDGE",83.28,"Louisville Cardinals",418000,4100
"316","Johnny Walker","EDGE /ChamberlainTampa, FL","EDGE",83.13,"Missouri Tigers",414000,3000
"317","Princely Umanmielen","EDGE /ManorManor, TX","EDGE",90.72,"Florida Gators",391000,30000
"318","Adepoju Adebawore","EDGE /North Kansas CityKansas City, MO","EDGE",98.81,"Oklahoma Sooners",378000,10500
"319","B.J. Green II","EDGE /Prince Avenue Christian SchoolBogart, GA","EDGE",0,"Recruits",378000,3300
"320","Shemar Turner","EDGE /DeSotoDeSoto, TX","EDGE",97.94,"Texas Am Aggies",362000,17000
"321","Antwaun Powell-Ryland Jr.","EDGE /Indian RiverPortsmouth, VA","EDGE",91.71,"Virginia Tech Hokies",356000,8300
"322","Jasheen Davis","EDGE /ShilohSnellville, GA","EDGE",88.13,"Wake Forest Demon Deacons",344000,2200
"323","Damon Wilson","EDGE /VeniceVenice, FL","EDGE",97.59,"Georgia Bulldogs",318000,22000
"324","J.T. Tuimoloau","EDGE /Eastside CatholicSammamish, WA","EDGE",99.06,"Ohio State Buckeyes",287000,57000
"325","Chop Robinson","EDGE /Quince OrchardGaithersburg, MD","EDGE",95.55,"Penn State Nittany Lions",284000,22000
"326","Brandon Dorlus","EDGE /Deerfield BeachDeerfield Beach, FL","EDGE",85.03,"Oregon Ducks",272000,10700
"327","Mykel Williams","EDGE /HardawayColumbus, GA","EDGE",98.57,"Georgia Bulldogs",270000,37000
"328","Davin Vann","EDGE /CaryCary, NC","EDGE",90.86,"Nc State Wolfpack",242000,2200
"329","Dani Dennis-Sutton","EDGE /McDonogh SchoolMillsboro, DE","EDGE",97.56,"Penn State Nittany Lions",232000,17000
"330","Gabriel Murphy","EDGE /Bishop LynchDallas, TX","EDGE",82.57,"Ucla Bruins",220000,2900
"331","Khalid Duke","EDGE /Riverside Military AcademyGainesville, GA","EDGE",82.8,"Kansas State Wildcats",219000,2100
"332","Yhonzae Pierre","EDGE /Eufaula Eufaula, AL","EDGE",97.33,"Alabama Crimson Tide",217000,3700
"333","Anthony Lucas","EDGE /ChaparralScottsdale, AZ","EDGE",96.35,"Usc Trojans",212000,16500
"334","Justice Finkley","EDGE /Hewitt-TrussvilleTrussville, AL","EDGE",93.69,"Texas Longhorns",210000,55000
"335","Colton Vasek","EDGE /WestlakeAustin, TX","EDGE",94.31,"Texas Longhorns",209000,26000
"336","Kelby Collins","EDGE /GardendaleGardendale, AL","EDGE",96.43,"Florida Gators",202000,27000
"337","Samuel M'Pemba","EDGE /IMG AcademySaint Louis, MO","EDGE",96.44,"Georgia Bulldogs",197000,26000
"338","J'mond Tapp","EDGE /Ascension CatholicDonaldsonville, LA","EDGE",93.56,"Texas Longhorns",194000,6700
"339","Ethan Burke","EDGE /WestlakeAustin, TX","EDGE",89.76,"Texas Longhorns",193000,5800
"340","Ahmed Hassanein","EDGE /LoaraAnaheim, CA","EDGE",82.87,"Boise State Broncos",188000,7700
"341","Ron Stone Jr.","EDGE /Valley ChristianSan Jose, CA","EDGE",0,"Washington State Cougars",187000,4900
"342","Dashawn Womack","EDGE /St. Frances AcademyBaltimore, MD","EDGE",96.47,"Lsu Tigers",186000,12700
"343","Barryn Sorrell","EDGE /Holy CrossNew Orleans, LA","EDGE",86.8,"Texas Longhorns",179000,4100
"344","Logan Fano","EDGE /TimpviewSpanish Fork, UT","EDGE",89.44,"Utah Utes",174000,5900
"345","Tomarrion Parker","EDGE /CentralPhenix City, AL","EDGE",96.02,"Clemson Tigers",170000,12100
"346","Akheem Mesidor","EDGE /Clearwater Academy InternationalClearwater, FL","EDGE",87.67,"Miami Hurricanes",167000,7500
"347","Jaylen Harrell","EDGE /Berkeley PrepTampa, FL","EDGE",89.94,"Michigan Wolverines",166000,12300
"348","Andre Carter","EDGE /Cass TechnicalDetroit, MI","EDGE",82.2,"Indiana Hoosiers",164000,5700
"349","Ethan Downs","EDGE /WeatherfordWeatherford, OK","EDGE",91.61,"Oklahoma Sooners",158000,24000
"350","Daniel Grzesiak","EDGE /CrenshawLos Angeles, CA","EDGE",0,"Cincinnati Bearcats",154000,4600
"351","Gabe Harris","EDGE /IMG AcademyValdosta, GA","EDGE",95.42,"Georgia Bulldogs",154000,21000
"352","Prince Dorbah","EDGE /Highland ParkDallas, TX","EDGE",92.89,"Arizona State Sun Devils",151000,13300
"353","Jereme Robinson","EDGE /Carver Montgomery, AL","EDGE",81.27,"Kansas Jayhawks",150000,1900
"354","Bai Jobe","EDGE /Community Christian SchoolNorman, OK","EDGE",95.41,"Michigan State Spartans",149000,11200
"355","Tausili Akana","EDGE /SkyridgeKahuku, HI","EDGE",93.5,"Texas Longhorns",147000,12000
"356","Jayden Wayne","EDGE /IMG AcademyTacoma, WA","EDGE",94.61,"Miami Hurricanes",144000,29000
"357","Roman Harrison","EDGE /BainbridgeBainbridge, GA","EDGE",89.92,"Tennessee Volunteers",143000,18100
"358","Caleb Herring","EDGE /RiverdaleMurfreesboro, TN","EDGE",94.47,"Tennessee Volunteers",143000,9600
"359","Joshua Josephs","EDGE /North CobbKennesaw, GA","EDGE",91.7,"Tennessee Volunteers",139000,7300
"360","Braylan Shelby","EDGE /FriendswoodFriendswood, TX","EDGE",95.45,"Usc Trojans",137000,6800
"361","Bralen Trice","EDGE /Sandra Day O'connorGlendale, AZ","EDGE",88.4,"Washington Huskies",136000,4600
"362","Austin Booker","EDGE /Center GroveGreenwood, IN","EDGE",86.57,"Kansas Jayhawks",135000,3200
"363","Jaxon Howard","EDGE /Robbinsdale CooperMinneapolis, MN","EDGE",93.63,"Lsu Tigers",134000,20000
"364","Joe Evans","EDGE /AmesAmes, IA","EDGE",0,"Recruits",132000,3000
"365","Jack Sawyer","EDGE /Pickerington NorthPickerington, OH","EDGE",99.1,"Ohio State Buckeyes",132000,49000
"366","Bryson Eason","EDGE /WhitehavenMemphis, TN","EDGE",89.73,"Tennessee Volunteers",127000,2100
"367","Chandavian Bradley","EDGE /Platte CountyPlatte City, MO","EDGE",93.29,"Tennessee Volunteers",126000,24000
"368","Joshua Mickens","EDGE /Lawrence CentralIndianapolis, IN","EDGE",94.16,"Ohio State Buckeyes",124000,6500
"369","Eyabi Okie","EDGE /St. Frances AcademyBaltimore, MD","EDGE",99.55,"Charlotte 49ers",123000,29000
"370","Chief Borders","EDGE /Heard CountyChicago, IL","EDGE",89.53,"Nebraska Cornhuskers",123000,61000
"371","Marshawn Kneeland","EDGE /Godwin Heights SeniorGrand Rapids, MI","EDGE",77.32,"Recruits",122000,776
"372","Darryl Peterson","EDGE /Archbishop HobanAkron, OH","EDGE",89.7,"Wisconsin Badgers",121000,3500
"373","Dayon Hayes","EDGE /WestinghousePittsburgh, PA","EDGE",90.51,"Pittsburgh Panthers",120000,3600
"374","David Bailey","EDGE /Mater DeiSanta Ana, CA","EDGE",95.46,"Stanford Cardinal",120000,2900
"375","Kamran James","EDGE /OlympiaOrlando, FL","EDGE",93.19,"Florida Gators",119000,17500
"376","Dasan McCullough","EDGE /Bloomington SouthBloomington, IN","EDGE",94.5,"Oklahoma Sooners",118000,79000
"377","Kyle Kennard","EDGE /RiverwoodAtlanta, GA","EDGE",85.6,"Georgia Tech Yellow Jackets",116000,4200
"378","Caden Curry","EDGE /Center GroveGreenwood, IN","EDGE",93.6,"Ohio State Buckeyes",114000,19900
"379","Nathan Latu","EDGE /OlympusSalt Lake City, UT","EDGE",82.87,"Oklahoma State Cowboys",114000,2400
"380","Collins Acheampong","EDGE /Santa Margarita CatholicRancho Santa Margarita, CA","EDGE",92.94,"Miami Hurricanes",114000,13700
"381","Patrick Payton","EDGE /NorthwesternMiami, FL","EDGE",91.52,"Florida State Seminoles",113000,13800
