"","Name","High School","Position","Rating","College","NIL Valuation","Followers"
"939","Devin Leary","QB /Timber CreekSicklerville, NJ","QB",89.62,"Kentucky Wildcats",355000,41000
"940","Christopher Vizzina","QB /Briarwood ChristianBirmingham, AL","QB",94.59,"Clemson Tigers",353000,30000
"941","Will Rogers","QB /BrandonBrandon, MS","QB",87.1,"Mississippi State Bulldogs",331000,58000
"942","TJ Finley","QB /PonchatoulaPonchatoula, LA","QB",88.67,"Texas State Bobcats",326000,71000
"943","Cade Klubnik","QB /WestlakeAustin, TX","QB",97.56,"Clemson Tigers",323000,117000
"944","Avery Johnson","QB /MaizeMaize, KS","QB",94.11,"Kansas State Wildcats",309000,78000
"945","John Rhys Plumlee","QB /Oak GroveHattiesburg, MS","QB",89.76,"Ucf Knights",303000,161000
"946","Austin Reed","QB /St. AugustineSaint Augustine, FL","QB",0,"Recruits",296000,11500
"947","JT Daniels","QB /Mater DeiSanta Ana, CA","QB",97.81,"Rice Owls",260000,101000
"948","Austin Novosad","QB /Dripping SpringsDripping Springs, TX","QB",93.8,"Oregon Ducks",256000,14300
"949","Will Howard","QB /Downingtown WestDowningtown, PA","QB",84.47,"Kansas State Wildcats",249000,21000
"950","Kaidon Salter","QB /Cedar HillCedar Hill, TX","QB",92.8,"Tennessee Volunteers",248000,18900
"951","Hudson Card","QB /Lake TravisAustin, TX","QB",94.95,"Purdue Boilermakers",247000,44000
"952","Chandler Morris","QB /Highland ParkDallas, TX","QB",86.72,"Tcu Horned Frogs",236000,8700
"953","Maalik Murphy","QB /Junipero SerraGardena, CA","QB",91.7,"Texas Longhorns",235000,42000
"954","Jayden de Laura","QB /St. LouisHonolulu, HI","QB",87.57,"Arizona Wildcats",226000,15900
"955","Donovan Smith","QB /FrenshipWolfforth, TX","QB",85.27,"Houston Cougars",223000,13800
"956","Cameron Rising","QB /Newbury ParkNewbury Park, CA","QB",90.68,"Recruits",212000,38000
"957","Brennan Armstrong","QB /ShelbyShelby, OH","QB",87.17,"Nc State Wolfpack",207000,14000
"958","Joey Aguilar","QB /FreedomOakley, CA","QB",87.04,"Appalachian State Mountaineers",203000,1200
"959","Tanner Mordecai","QB /MidwayWaco, TX","QB",90.64,"Wisconsin Badgers",202000,18900
"960","Noah Kim","QB /WestfieldChantilly, VA","QB",83.97,"Michigan State Spartans",198000,11500
"961","Grayson McCall","QB /Porter RidgeIndian Trail, NC","QB",77.77,"Recruits",195000,44000
"962","Kedon Slovis","QB /Desert MountainScottsdale, AZ","QB",87.67,"Byu Cougars",192000,39000
"963","Mitch Griffis","QB /Broad RunAshburn, VA","QB",87.17,"Wake Forest Demon Deacons",185000,4400
"964","Dylan Lonergan","QB /BrookwoodSnellville, GA","QB",92.74,"Alabama Crimson Tide",182000,10400
"965","JJ Kohl","QB /AnkenyAnkeny, IA","QB",92.89,"Iowa State Cyclones",180000,6600
"966","Garrett Shrader","QB /Charlotte ChristianCharlotte, NC","QB",90.32,"Recruits",178000,6000
"967","Garrett Nussmeier","QB /MarcusFlower Mound, TX","QB",94.54,"Lsu Tigers",174000,301000
"968","AJ Swann","QB /CherokeeCanton, GA","QB",88.55,"Vanderbilt Commodores",171000,11200
"969","Jacob Zeno","QB /John JaySan Antonio, TX","QB",89.67,"Uab Blazers",156000,3100
"970","Dequann Finn","QB /Martin Luther KingDetroit, MI","QB",83.68,"Toledo Rockets",155000,10500
"971","Aidan Chiles","QB /DowneyDowney, CA","QB",92.76,"Oregon State Beavers",154000,5800
"972","Seth Henigan","QB /RyanDenton, TX","QB",83.17,"Memphis Tigers",151000,3600
"973","Brock Vandagriff","QB /Prince Avenue Christian SchoolBogart, GA","QB",97.23,"Georgia Bulldogs",150000,60000
"974","Robby Ashford","QB /HooverHoover, AL","QB",89.95,"Auburn Tigers",147000,55000
"975","Davis Brin","QB /ChampionBoerne, TX","QB",82.8,"Georgia Southern Eagles",141000,4600
"976","Casey Thompson","QB /NewcastleNewcastle, OK","QB",90.01,"Recruits",141000,123000
