"","Conference","name"
"162","Northeast","Duquesne Dukes"
"163","Southern","East Tennessee State Buccaneers"
"164","Big South-OVC","Eastern Illinois Panthers"
"165","UAC","Eastern Kentucky Colonels"
"166","Big Sky","Eastern Washington Eagles"
"167","CAA","Elon Phoenix"
"168","SWAC","Florida A&M Rattlers"
"169","Patriot","Fordham Rams"
"170","Southern","Furman Paladins"
"171","Big South-OVC","Gardner–Webb Runnin' Bulldogs"
"172","Patriot","Georgetown Hoyas"
"173","SWAC","Grambling State Tigers"
"174","CAA","Hampton Pirates"
"175","Ivy","Harvard Crimson"
"176","Patriot","Holy Cross Crusaders"
"177","Southland","Houston Christian Huskies"
"178","MEAC","Howard Bison"
"179","Big Sky","Idaho Vandals"
"180","Big Sky","Idaho State Bengals"
"181","Missouri Valley","Illinois State Redbirds"
"182","Southland","Incarnate Word Cardinals"
"183","Missouri Valley","Indiana State Sycamores"
"184","SWAC","Jackson State Tigers"
"185","Independent","Kennesaw State Owls"
"186","Patriot","Lafayette Leopards"
"187","Southland","Lamar Cardinals"
"188","Patriot","Lehigh Mountain Hawks"
"189","Northeast","Liu[G] Sharks"
"190","CAA","Maine Black Bears"
"191","Pioneer","Marist Red Foxes"
"192","Southland","Mcneese Cowboys"
"193","Southern","Mercer Bears"
"194","Northeast","Merrimack Warriors"
"195","SWAC","Mississippi Valley State Delta Devils"
"196","Missouri Valley","Missouri State Bears"
"197","CAA","Monmouth Hawks"
"198","Big Sky","Montana Grizzlies"
"199","Big Sky","Montana State Bobcats"
"200","Pioneer","Morehead State Eagles"
"201","MEAC","Morgan State Bears"
"202","Missouri Valley","Murray State Racers"
"203","CAA","New Hampshire Wildcats"
"204","Southland","Nicholls Colonels"
"205","MEAC","Norfolk State Spartans"
"206","UAC","North Alabama Lions"
"207","CAA","North Carolina A&T Aggies"
"208","MEAC","North Carolina Central Eagles"
"209","Missouri Valley","North Dakota Fighting Hawks"
"210","Missouri Valley","North Dakota State Bison"
"211","Big Sky","Northern Arizona Lumberjacks"
"212","Big Sky","Northern Colorado Bears"
"213","Missouri Valley","Northern Iowa Panthers"
"214","Southland","Northwestern State Demons"
"215","Ivy","Penn Quakers"
"216","Big Sky","Portland State Vikings"
"217","SWAC","Prairie View A&M Panthers"
"218","Pioneer","Presbyterian Blue Hose"
"219","Ivy","Princeton Tigers"
"220","CAA","Rhode Island Rams"
"221","CAA","Richmond Spiders"
"222","Big South-OVC","Robert Morris Colonials"
"223","Big Sky","Sacramento State Hornets"
"224","Northeast","Sacred Heart Pioneers"
"225","Northeast","Saint Francis (Pa) Red Flash"
"226","Southern","Samford Bulldogs"
"227","Pioneer","San Diego Toreros"
"228","MEAC","South Carolina State Bulldogs"
"229","Missouri Valley","South Dakota Coyotes"
"230","Missouri Valley","South Dakota State Jackrabbits"
"231","Big South-OVC","Southeast Missouri State Redhawks"
"232","Southland","Southeastern Louisiana Lions"
"233","SWAC","Southern Jaguars"
"234","Missouri Valley","Southern Illinois Salukis"
"235","UAC","Southern Utah Thunderbirds"
"236","UAC","Stephen F. Austin Lumberjacks"
"237","Pioneer","Stetson Hatters"
"238","CAA","Stony Brook Seawolves"
"239","Big South-OVC","Tennessee State Tigers"
"240","Big South-OVC","Tennessee Tech Golden Eagles"
"241","SWAC","Texas Southern Tigers"
"242","CAA","Towson Tigers"
"243","Big Sky","Uc Davis Aggies"
"244","Big South-OVC","Ut Martin Skyhawks"
"245","Pioneer","Valparaiso Beacons"
"246","CAA","Villanova Wildcats"
"247","Southern","Vmi Keydets"
"248","Northeast","Wagner Seahawks"
"249","Big Sky","Weber State Wildcats"
"250","Southern","Western Carolina Catamounts"
"251","Missouri Valley","Western Illinois Leathernecks"
"252","CAA","William & Mary Tribe"
"253","Southern","Wofford Terriers"
"254","Ivy","Yale Bulldogs"
"255","Missouri Valley","Youngstown State Penguins"
