"","Name","High.School","Position","Rating","NIL.Valuation","Followers","Last.Team","New.Team"
"627","Sy'Veon Wilkerson","Our Lady Good Counsel HS","RB",0,0,0,"jackson state tigers","colorado buffaloes"
"628","Jaren Mangham","Cass Technical","RB",0,0,0,"usf bulls","michigan state spartans"
"629","Andrew Henry","Allen","RB",0,0,0,"louisiana monroe warhawks","new mexico lobos"
"630","Harrison Waylee","Urbandale","RB",0,0,0,"northern illinois huskies","wyoming cowboys"
"631","Nay'Quan Wright","Miami Carol City","RB",0,0,0,"florida gators","usf bulls"
"632","Dominic Richardson","Bishop McGuinness","RB",0,0,0,"oklahoma state cowboys","baylor bears"
"633","Mario Anderson","Stratford","RB",0,0,0,"newberry wolves","south carolina gamecocks"
"634","Demie Sumo-Karngbaye","Willingboro","RB",0,0,0,"nc state wolfpack","kentucky wildcats"
"635","ShunDerrick Powell","Hoxie","RB",0,0,0,"north alabama lions","undecided"
"636","Antonio Martin","Langston Hughes","RB",0,0,0,"georgia tech yellow jackets","undecided"
"637","Jordan McCloud","Plant","QB",0,268000,0,"arizona wildcats","undecided"
"638","Harrison Bailey","Marietta","QB",0,93000,0,"unlv rebels","louisville cardinals"
"639","Walker Howard","St. Thomas More","QB",0,83000,0,"lsu tigers","ole miss rebels"
"640","Jacolby Criswell","Morrilton","QB",0,82000,0,"north carolina tar heels","arkansas razorbacks"
"641","Nick Evers","Flower Mound","QB",0,81000,0,"oklahoma sooners","wisconsin badgers"
"642","Paul Tyson","Hewitt-Trussville","QB",0,81000,0,"arizona state sun devils","clemson tigers"
"643","Tayven Jackson","Center Grove","QB",0,80000,0,"tennessee volunteers","indiana hoosiers"
"644","Jack Tuttle","Mission Hills","QB",0,78000,0,"indiana hoosiers","michigan wolverines"
"645","Tyler Buchner","Helix","QB",0,67000,0,"notre dame fighting irish","alabama crimson tide"
"646","Eli Stowers","Guyer","QB",0,66000,0,"texas am aggies","new mexico state aggies"
"647","Sawyer Robertson","Coronado","QB",0,63000,0,"mississippi state bulldogs","baylor bears"
"648","Khalib Johnson","Clay-Chalkville","QB",0,62000,0,"louisville cardinals","undecided"
"649","Sam Jackson","Naperville Central","QB",0,0,0,"tcu horned frogs","california golden bears"
"650","Brady Allen","Gibson Southern","QB",0,0,0,"purdue boilermakers","louisville cardinals"
"651","Phil Jurkovec","Pine-Richland","QB",0,0,0,"boston college eagles","pittsburgh panthers"
"652","Chance Nolan","Paloma Valley","QB",0,0,0,"oregon state beavers","tcu horned frogs"
"653","Ben Bryant","Lyons Township","QB",0,0,0,"cincinnati bearcats","northwestern wildcats"
"654","Braedyn Locke","Rockwall","QB",0,0,0,"mississippi state bulldogs","wisconsin badgers"
"655","Luke Altmyer","Starkville","QB",0,0,0,"ole miss rebels","illinois fighting illini"
"656","Hank Bachmeier","Murrieta Valley","QB",0,0,0,"boise state broncos","louisiana tech bulldogs"
"657","Collin Schlee","Oakdale","QB",0,0,0,"kent state golden flashes","ucla bruins"
"658","Drew Pyne","New Canaan","QB",0,0,0,"notre dame fighting irish","arizona state sun devils"
"659","Braden Davis","Middletown","QB",0,0,0,"south carolina gamecocks","syracuse orange"
"660","Sam Huard","Kennedy Catholic","QB",0,0,0,"washington huskies","cal poly mustangs"
"661","Hayden Wolff","Venice","QB",0,0,0,"old dominion monarchs","western michigan broncos"
"662","Ben Finley","Paradise Valley","QB",0,0,0,"nc state wolfpack","california golden bears"
"663","Carson May","Jones","QB",0,0,0,"iowa hawkeyes","wyoming cowboys"
"664","Layne Hatcher","Pulaski Academy","QB",0,0,0,"texas state bobcats","ball state cardinals"
