"","Name","High.School","Position","Rating","NIL.Valuation","Followers","Last.Team","New.Team"
"416","Dashaun Mallory","Bolingbrook","DL",0,0,0,"michigan state spartans","arizona state sun devils"
"417","Joseph Mason","Green Oaks","DL",0,0,0,"louisiana tech bulldogs","undecided"
"418","Adin Huntington","Mountain View","DL",0,0,0,"kent state golden flashes","louisiana monroe warhawks"
"419","Landyn Watson","Hutto","DL",0,0,0,"tcu horned frogs","marshall thundering herd"
"420","Davoan Hawkins","Chaminade-Madonna Prep","DL",0,0,0,"tennessee state tigers","west virginia mountaineers"
"421","Elijah Roberts","Columbus","EDGE",0,140000,0,"miami hurricanes","smu mustangs"
"422","Trace Ford","Santa Fe","EDGE",0,73000,0,"oklahoma state cowboys","oklahoma sooners"
"423","Paris Shand","The Loomis Chaffee School","EDGE",0,72000,0,"arizona wildcats","lsu tigers"
"424","Jordan Burch","Hammond School","EDGE",0,70000,0,"south carolina gamecocks","oregon ducks"
"425","Javontae Jean-Baptiste","Bergen Catholic","EDGE",0,69000,0,"ohio state buckeyes","notre dame fighting irish"
"426","Rondell Bothroyd","E. O. Smith","EDGE",0,68000,0,"wake forest demon deacons","oklahoma sooners"
"427","Chase Carter","Minnehaha Academy","EDGE",0,65000,0,"michigan state spartans","undecided"
"428","Oluwaseyi Omotosho","Fort Bend Bush","EDGE",0,0,0,"wyoming cowboys","oregon state beavers"
"429","Josaiah Stewart","Everett","EDGE",0,0,0,"coastal carolina chanticleers","michigan wolverines"
"430","Steve Linton","Dublin","EDGE",0,0,0,"syracuse orange","texas tech red raiders"
"431","Clayton Smith","Texas High","EDGE",0,0,0,"oklahoma sooners","arizona state sun devils"
"432","Tunmise Adeleye","Tompkins","EDGE",0,0,0,"texas am aggies","michigan state spartans"
"433","Isaac Ukwu","Dr. Henry Wise","EDGE",0,0,0,"james madison dukes","ole miss rebels"
"434","Derrick McLendon","Tucker","EDGE",0,0,0,"florida state seminoles","colorado buffaloes"
"435","Anthony Goodlow","Del City","EDGE",0,0,0,"tulsa golden hurricane","oklahoma state cowboys"
"436","Stephen Herron Jr.","Trinity","EDGE",0,0,0,"stanford cardinal","louisville cardinals"
"437","Byron Vaughns","Eastern Hills","EDGE",0,0,0,"utah state aggies","baylor bears"
"438","Darian Varner","Maury","EDGE",0,0,0,"temple owls","wisconsin badgers"
"439","Zach Durfee","Dawson-Boyd Secondary","EDGE",0,0,0,"sioux falls cougars","washington huskies"
"440","Shane Cokes","Chaminade Julienne","EDGE",0,0,0,"dartmouth big green","colorado buffaloes"
"441","Donnell Brown","Riverdale Baptist","EDGE",0,0,0,"saint francis pa red flash","maryland terrapins"
"442","Anthony Campbell","Bartow","EDGE",0,0,0,"louisiana monroe warhawks","miami hurricanes"
"443","John Morgan","DeMatha Catholic","EDGE",0,0,0,"pittsburgh panthers","arkansas razorbacks"
"444","Sav'ell Smalls","Kennedy Catholic","EDGE",0,0,0,"washington huskies","colorado buffaloes"
"445","Donell Harris","Gulliver Prep","EDGE",0,0,0,"texas am aggies","louisiana monroe warhawks"
"446","Jordan Domineck","George W. Jenkins Senior","EDGE",0,0,0,"arkansas razorbacks","colorado buffaloes"
"447","Shaun Peterson Jr.","Nova","EDGE",0,0,0,"fiu golden panthers","ucf knights"
"448","Marcus Burris","Pleasant Grove","EDGE",0,0,0,"texas am aggies","indiana hoosiers"
"449","Noah Potter","Mentor","EDGE",0,0,0,"cincinnati bearcats","nc state wolfpack"
"450","Isaiah Bagnah","Lethbridge Collegiate Institute","EDGE",0,0,0,"boise state broncos","byu cougars"
"451","Cam Robertson","John Paul II","EDGE",0,0,0,"north texas mean green","smu mustangs"
"452","Drew Tuazama","Jireh Prep","EDGE",0,0,0,"uab blazers","south carolina gamecocks"
"453","Derrick Harris Jr.","New Caney","EDGE",0,0,0,"texas longhorns","usf bulls"
"454","Dylan Brooks","Handley","EDGE",0,0,0,"auburn tigers","kansas jayhawks"
