"","Name","High School","Position","Rating","College","NIL Valuation","Followers","Conference"
"68","Earl Little Jr.","CB /American HeritageFort Lauderdale, FL","CB",94.78,"Alabama Crimson Tide",121000,30000,"SEC"
"69","Elliot Washington","CB /VeniceVenice, FL","CB",92.72,"Penn State Nittany Lions",118000,29000,"Big Ten"
"70","Myles Jones","CB /Magnolia WestMagnolia, TX","CB",89.03,"Duke Blue Devils",118000,128000,"ACC"
"71","Greedy Vance","CB /Edna KarrNew Orleans, LA","CB",87.13,"Florida State Seminoles",118000,19400,"ACC"
"72","Christian Gray","CB /DeSmetSaint Louis, MO","CB",93.82,"Notre Dame Fighting Irish",116000,6800,"Independent"
"73","Jordan Hancock","CB /North GwinnettSuwanee, GA","CB",95.58,"Ohio State Buckeyes",114000,24000,"Big Ten"
"74","Tony Grimes","CB /Princess AnneVirginia Beach, VA","CB",97.64,"Texas A&M Aggies",113000,30000,"SEC"
"75","Devonta Smith","CB /La SalleCincinnati, OH","CB",91.54,"Alabama Crimson Tide",113000,18900,"SEC"
"76","Jyaire Hill","CB /KankakeeKankakee, IL","CB",92.68,"Michigan Wolverines",113000,13000,"Big Ten"
"77","Jaydon Hill","CB /Bob Jones Madison, AL","CB",90.55,"Florida Gators",112000,25000,"SEC"
"78","Aaron Williams","CB /St. John BoscoCorona, CA","CB",92.19,"Louisville Cardinals",111000,25000,"ACC"
"79","Jason Marshall","CB /Miami PalmettoMiami, FL","CB",96.88,"Florida Gators",111000,23000,"SEC"
"80","Daniel Harris","CB /Gulliver PrepMiami, FL","CB",92.74,"Georgia Bulldogs",111000,9800,"SEC"
"81","Deuce Harmon","CB /GuyerDenton, TX","CB",92.53,"Texas A&M Aggies",111000,74000,"SEC"
"82","Renardo Green","CB /WekivaApopka, FL","CB",89,"Florida State Seminoles",110000,10000,"ACC"
"83","Kristian Story","CB /LanettLanett, AL","CB",91.75,"Alabama Crimson Tide",109000,14400,"SEC"
"84","Shyheim Brown","CB /ColumbiaLake City, FL","CB",84.67,"Florida State Seminoles",109000,8000,"ACC"
"85","Akeem Dent","CB /Palm Beach CentralWest Palm Beach, FL","CB",95.89,"Florida State Seminoles",108000,6200,"ACC"
"86","Keionte Scott","CB /HelixLa Mesa, CA","CB",92.62,"Auburn Tigers",108000,19300,"SEC"
"87","Robert Stafford","CB /Eau GallieMelbourne, FL","CB",92.88,"Miami Hurricanes",107000,8400,"ACC"
"88","J.D. Rhym","CB /ValdostaValdosta, GA","CB",92.81,"Auburn Tigers",106000,15300,"SEC"
"89","Devin Moore","CB /NaplesNaples, FL","CB",91.88,"Florida Gators",106000,16000,"SEC"
"90","Kevin Knowles II","CB /McArthurHollywood, FL","CB",88.21,"Florida State Seminoles",105000,4300,"ACC"
"91","Chris Peal","CB /Providence Day SchoolCharlotte, NC","CB",92.68,"Georgia Bulldogs",105000,3600,"SEC"
"92","Tyreek Chappell","CB /NortheastPhiladelphia, PA","CB",88.55,"Texas A&M Aggies",105000,13300,"SEC"
"93","Nehemiah Pritchett","CB /JacksonJackson, AL","CB",88.4,"Auburn Tigers",105000,13900,"SEC"
"94","Ra'Mello Dotson","CB /MainlandDaytona Beach, FL","CB",81.75,"Kansas Jayhawks",104000,6200,"Big 12"
"95","DeShawn Gaddie Jr.","CB /LamarArlington, TX","CB",82.6,"Ole Miss Rebels",103000,160000,"SEC"
"96","Jalen Kimber","CB /Mansfield TimberviewArlington, TX","CB",93.46,"Florida Gators",103000,12200,"SEC"
"97","Lance Robinson","CB /De La SalleNew Orleans, LA","CB",83.83,"Kansas State Wildcats",103000,8600,"Big 12"
"98","Sharif Denson","CB /Bartram TrailJacksonville, FL","CB",91.1,"Florida Gators",102000,19000,"SEC"
"99","Quinton Newsome","CB /North GwinnettSuwanee, GA","CB",87.67,"Nebraska Cornhuskers",100000,12200,"Big Ten"
"100","Daylen Everette","CB /IMG AcademyBradenton, FL","CB",96.92,"Georgia Bulldogs",99000,36000,"SEC"
"101","Harold Perkins","LB /Cy ParkCypress, TX","LB",98.41,"Lsu Tigers",558000,58000,"SEC"
"102","Anthony Hill","LB /RyanDenton, TX","LB",97.87,"Texas Longhorns",497000,40000,"Big 12"
"103","Edgerrin Cooper","LB /CovingtonCovington, LA","LB",92.38,"Texas A&M Aggies",495000,41000,"SEC"
"104","Justin Flowe","LB /UplandUpland, CA","LB",99.05,"Arizona Wildcats",445000,503000,"Pac-12"
"105","Payton Wilson","LB /OrangeHillsborough, NC","LB",94.94,"Nc State Wolfpack",435000,10800,"ACC"
"106","Jeremiah Trotter Jr.","LB /St. Joseph'sPhiladelphia, PA","LB",96.77,"Clemson Tigers",418000,15600,"ACC"
"107","Nathaniel Watson","LB /MaplesvilleMaplesville, AL","LB",86.27,"Mississippi State Bulldogs",402000,4700,"SEC"
"108","Abdul Carter","LB /La Salle CollegePhiladelphia, PA","LB",91.35,"Penn State Nittany Lions",401000,21000,"Big Ten"
"109","Cedric Gray","LB /Ardrey KellCharlotte, NC","LB",85.47,"North Carolina Tar Heels",379000,8400,"ACC"
"110","Francisco Mauigoa","LB /TafunaIli’ili, AS","LB",82.83,"Miami Hurricanes",369000,3100,"ACC"
"111","Jett Johnson","LB /TupeloTupelo, MS","LB",84.37,"Mississippi State Bulldogs",365000,17500,"SEC"
"112","Deontae Lawson","LB /Mobile Christian SchoolMobile, AL","LB",96.08,"Alabama Crimson Tide",342000,26000,"SEC"
"113","Jaylan Ford","LB /Lone StarFrisco, TX","LB",83.17,"Texas Longhorns",335000,8800,"Big 12"
"114","Collin Oliver","LB /Santa FeEdmond, OK","LB",89.07,"Oklahoma State Cowboys",315000,5000,"Big 12"
"115","Tommy Eichenberg","LB /St IgnatiusCleveland, OH","LB",89.41,"Ohio State Buckeyes",305000,21000,"Big Ten"
"116","Danny Stutsman","LB /Foundation AcademyWinter Garden, FL","LB",89.46,"Oklahoma Sooners",299000,64000,"Big 12"
"117","Eugene Asante","LB /WestfieldChantilly, VA","LB",91.01,"Auburn Tigers",298000,19600,"SEC"
"118","Marlowe Wax","LB /Mount Saint JosephBaltimore, MD","LB",83.7,"Syracuse Orange",287000,8200,"ACC"
"119","Suntarine Perkins","LB /RaleighRaleigh, MS","LB",98.14,"Ole Miss Rebels",280000,17100,"SEC"
"120","Qua Russaw","LB /Carver Montgomery, AL","LB",97.32,"Alabama Crimson Tide",268000,13400,"SEC"
"121","Raylen Wilson","LB /LincolnTallahassee, FL","LB",97.26,"Georgia Bulldogs",249000,89000,"SEC"
"122","Tyrice Knight","LB /Lake GibsonLakeland, FL","LB",78.65,"Utep Miners",239000,1300,"C-USA"
"123","Barrett Carter","LB /North GwinnettSuwanee, GA","LB",96.97,"Clemson Tigers",235000,27000,"ACC"
"124","Curtis Jacobs","LB /McDonogh SchoolGlen Burnie, MD","LB",96.39,"Penn State Nittany Lions",220000,19000,"Big Ten"
"125","Smael Mondon","LB /Paulding CountyDallas, GA","LB",97.01,"Georgia Bulldogs",206000,24000,"SEC"
"126","Aaron Beasley","LB /Heard CountyFranklin, GA","LB",88.37,"Tennessee Volunteers",203000,15000,"SEC"
"127","C.J. Hicks","LB /Archbishop AlterDayton, OH","LB",98.14,"Ohio State Buckeyes",201000,161000,"Big Ten"
"128","Morice Blackwell","LB /MartinArlington, TX","LB",90.41,"Texas Longhorns",200000,18200,"Big 12"
"129","Jett Bush","LB /Strake JesuitHouston, TX","LB",77.55,"Texas Longhorns",195000,15600,"Big 12"
"130","Jay Higgins","LB /Brebeuf JesuitIndianapolis, IN","LB",81.6,"Iowa Hawkeyes",193000,6700,"Big Ten"
"131","Kalen DeLoach","LB /IslandsSavannah, GA","LB",91.02,"Florida State Seminoles",193000,16000,"ACC"
"132","David Gbenda","LB /Cinco RanchKaty, TX","LB",92.4,"Texas Longhorns",192000,2800,"Big 12"
"133","Jacob Manu","LB /ServiteAnaheim, CA","LB",85.85,"Arizona Wildcats",188000,989,"Pac-12"
"134","Derion Gullette","LB /TeagueMarlin, TX","LB",93.34,"Texas Longhorns",188000,14500,"Big 12"
"135","Maema Njongmeta","LB /Adlai StevensonLincolnshire, IL","LB",88.67,"Wisconsin Badgers",180000,4400,"Big Ten"
"136","Trevin Wallace","LB /Wayne CountyJesup, GA","LB",94.25,"Kentucky Wildcats",170000,3500,"SEC"
"137","Junior Colson","LB /RavenwoodBrentwood, TN","LB",94.49,"Michigan Wolverines",159000,40000,"Big Ten"
"138","CJ Allen","LB /Lamar County ComprehensiveBarnesville, GA","LB",94.91,"Georgia Bulldogs",156000,26000,"SEC"
"139","Kendrick Blackshire","LB /DuncanvilleDuncanville, TX","LB",91.95,"Alabama Crimson Tide",156000,71000,"SEC"
"140","Steele Chambers","LB /Blessed Trinity CatholicRoswell, GA","LB",91.58,"Ohio State Buckeyes",156000,12800,"Big Ten"
"141","Ty'Ron Hopper","LB /RoswellRoswell, GA","LB",94.91,"Missouri Tigers",154000,13600,"SEC"
"142","Troy Bowles","LB /JesuitTampa, FL","LB",94.55,"Georgia Bulldogs",149000,23000,"SEC"
"143","Tackett Curtis","LB /ManyMany, LA","LB",93.62,"Usc Trojans",148000,11100,"Pac-12"
"144","Tony Rojas","LB /FairfaxFairfax, VA","LB",94.45,"Penn State Nittany Lions",147000,19600,"Big Ten"
"145","Samuel Omosigho","LB /CrandallCrandall, TX","LB",95.31,"Oklahoma Sooners",145000,14800,"Big 12"
"146","Jamon Dumas-Johnson","LB /St. Frances AcademyBaltimore, MD","LB",91.17,"Georgia Bulldogs",144000,11400,"SEC"
"147","Elijah Herring","LB /RiverdaleMurfreesboro, TN","LB",86.47,"Tennessee Volunteers",138000,5800,"SEC"
"148","Kalib Perry","LB /Great CrossingGeorgetown, KY","LB",86.17,"Tennessee Volunteers",138000,3900,"SEC"
"149","TJ Capers","LB /ColumbusMiami, FL","LB",93.27,"Louisville Cardinals",137000,24000,"ACC"
"150","Brian Holloway","LB /Clear LakeHouston, TX","LB",50,"Texas State Bobcats",134000,603,"Sun Belt"
"151","Marist Liufau","LB /PunahouHonolulu, HI","LB",88.73,"Notre Dame Fighting Irish",134000,9900,"Independent"
"152","Drayk Bowen","LB /AndreanMerrillville, IN","LB",94.14,"Notre Dame Fighting Irish",132000,32000,"Independent"
"153","Arion Carter","LB /SmyrnaSmyrna, TN","LB",93.57,"Tennessee Volunteers",128000,5800,"SEC"
"154","Teradja Mitchell","LB /BaysideVirginia Beach, VA","LB",96.34,"Florida Gators",126000,48000,"SEC"
"155","Darius Muasau","LB /MililaniMililani, HI","LB",77.82,"Ucla Bruins",120000,2700,"Pac-12"
"156","Jihaad Campbell","LB /IMG AcademyBradenton, FL","LB",97.82,"Alabama Crimson Tide",117000,25000,"SEC"
"157","Malik Bryant","LB /JonesOrlando, FL","LB",92.14,"Miami Hurricanes",117000,43000,"ACC"
"158","Whit Weeks","LB /Oconee CountyWatkinsville, GA","LB",93.05,"Lsu Tigers",115000,4400,"SEC"
"159","Mason Cobb","LB /ProvoProvo, UT","LB",83.4,"Usc Trojans",114000,24000,"Pac-12"
"160","Power Echols","LB /Julius L. ChambersCharlotte, NC","LB",92.6,"North Carolina Tar Heels",114000,9500,"ACC"
"161","Derek Wingo","LB /St. Thomas AquinasFort Lauderdale, FL","LB",95.83,"Florida Gators",113000,29000,"SEC"
"162","Jamal Anderson","LB /Mill CreekHoschton, GA","LB",92.12,"Clemson Tigers",113000,13400,"ACC"
"163","Tatum Bethune","LB /Miami CentralMiami, FL","LB",82.53,"Florida State Seminoles",112000,10400,"ACC"
"164","Lewis Carter","LB /Tampa CatholicTampa, FL","LB",92.54,"Oklahoma Sooners",112000,14400,"Big 12"
"165","Jaren Kanak","LB /HaysHays, KS","LB",93.03,"Oklahoma Sooners",111000,193000,"Big 12"
"166","Cody Simon","LB /St. Peters PrepJersey City, NJ","LB",95.19,"Ohio State Buckeyes",111000,16100,"Big Ten"
"167","Jordan Hall","LB /IMG AcademyFredericksburg, VA","LB",92.17,"Michigan State Spartans",111000,13600,"Big Ten"
"168","Omar Graham Jr.","LB /StranahanFort Lauderdale, FL","LB",87.53,"Florida State Seminoles",110000,21000,"ACC"
"169","Trezmen Marshall","LB /Clinch CountyHomerville, GA","LB",93.12,"Alabama Crimson Tide",108000,12700,"SEC"
"170","Raul Aguirre","LB /WhitewaterFayetteville, GA","LB",92.12,"Miami Hurricanes",108000,23000,"ACC"
"171","Shemar James","LB /Faith AcademyMobile, AL","LB",95.78,"Florida Gators",108000,16600,"SEC"
"172","MJ Sherman","LB /St. John'sBaltimore, MD","LB",96.56,"Nebraska Cornhuskers",106000,22000,"Big Ten"
"173","Quandarrius Robinson","LB /Jackson-OlinBirmingham, AL","LB",94.82,"Alabama Crimson Tide",105000,10800,"SEC"
"174","Keon Wylie","LB /Imhotep InstitutePhiladelphia, PA","LB",88.05,"Penn State Nittany Lions",104000,20000,"Big Ten"
"175","Austin Keys","LB /SeminarySeminary, MS","LB",85.55,"Auburn Tigers",103000,17400,"SEC"
"176","Jalon Walker","LB /SalisburySalisbury, NC","LB",96.07,"Georgia Bulldogs",101000,23000,"SEC"
"177","Blake Nichelson","LB /MantecaRipon, CA","LB",92.49,"Florida State Seminoles",101000,16600,"ACC"
"178","Cam Riley","LB /HillcrestEvergreen, AL","LB",90.69,"Auburn Tigers",101000,9400,"SEC"
"180","Wesley Steiner","LB /Houston CountyWarner Robins, GA","LB",93.86,"Auburn Tigers",100000,8400,"SEC"
"181","Arvell Reese","LB /GlenvilleCleveland, OH","LB",92.26,"Ohio State Buckeyes",99000,6800,"Big Ten"
"182","Eric Gentry","LB /Neumann GorettiPhiladelphia, PA","LB",87.22,"Usc Trojans",97000,1800,"Pac-12"
"183","Luke Reimer","LB /North StarLincoln, NE","LB",50,"Nebraska Cornhuskers",96000,6900,"Big Ten"
"184","Chris Russell","LB /DyersburgDyersburg, TN","LB",85.3,"Texas A&M Aggies",96000,3300,"SEC"
"185","DJ Lundy","LB /Irwin CountyOcilla, GA","LB",84.7,"Florida State Seminoles",96000,4000,"ACC"
"186","Nick Henrich","LB /BurkeOmaha, NE","LB",93.37,"Nebraska Cornhuskers",96000,7500,"Big Ten"
"187","Xavian Sorey","LB /IMG AcademyBradenton, FL","LB",96.09,"Georgia Bulldogs",95000,13900,"SEC"
"188","Kobe King","LB /Cass TechnicalDetroit, MI","LB",88.1,"Penn State Nittany Lions",95000,10800,"Big Ten"
"189","Jaiden Ausberry","LB /University LabBaton Rouge, LA","LB",92.39,"Notre Dame Fighting Irish",94000,10700,"Independent"
"191","Grayson Howard","LB /Andrew JacksonJacksonville, FL","LB",92.3,"South Carolina Gamecocks",93000,14400,"SEC"
"192","Langston Patterson","LB /Christ Presbyterian AcademyNashville, TN","LB",87.78,"Vanderbilt Commodores",93000,2700,"SEC"
"193","Ta'Mere Robinson","LB /BrashearPittsburgh, PA","LB",91.19,"Penn State Nittany Lions",93000,14800,"Big Ten"
"194","Tyler Elsdon","LB /North SchuylkillFrackville, PA","LB",86.93,"Penn State Nittany Lions",91000,5400,"Big Ten"
"195","S'Maje Burrell","LB /North CrowleyFort Worth, TX","LB",90.17,"Texas Longhorns",89000,10300,"Big 12"
"196","Darris Smith","LB /Appling CountyBaxley, GA","LB",93.95,"Georgia Bulldogs",89000,7100,"SEC"
"197","Khari Coleman","LB /G.W. CarverNew Orleans, LA","LB",86.83,"Ole Miss Rebels",88000,11600,"SEC"
"198","Monty Montgomery","LB /NorcrossNorcross, GA","LB",81.1,"Ole Miss Rebels",88000,10700,"SEC"
"199","Larry Nixon III","LB /RichlandNorth Richland Hills, TX","LB",78,"Auburn Tigers",85000,1500,"SEC"
"200","Daymion Sanford","LB /PaetowKaty, TX","LB",89.85,"Texas A&M Aggies",85000,2900,"SEC"
"201","Byron Murphy II","DL /DeSotoDeSoto, TX","DL",89.53,"Texas Longhorns",610000,29000,"Big 12"
"202","T'Vondre Sweat","DL /HuntsvilleHuntsville, TX","DL",86.9,"Texas Longhorns",520000,21000,"Big 12"
"203","Walter Nolen","DL /PowellPowell, TN","DL",99.59,"Texas A&M Aggies",503000,34000,"SEC"
"204","Jer'Zhan Newton","DL /Clearwater Central CatholicClearwater, FL","DL",83.8,"Illinois Fighting Illini",502000,6500,"Big Ten"
"205","Howard Cross","DL /St. Joseph Regional Montvale, NJ","DL",90,"Notre Dame Fighting Irish",499000,4600,"Independent"
"206","Deone Walker","DL /Cass TechnicalDetroit, MI","DL",90.52,"Kentucky Wildcats",479000,11600,"SEC"
"207","DJ Hicks","DL /PaetowKaty, TX","DL",98.98,"Texas A&M Aggies",437000,24000,"SEC"
"208","Bear Alexander","DL /IMG AcademyDenton, TX","DL",96.33,"Usc Trojans",429000,43000,"Pac-12"
"209","Jared Ivey","DL /North GwinnettSuwanee, GA","DL",89.89,"Ole Miss Rebels",424000,5700,"SEC"
"211","Lee Hunter","DL /BlountEight Mile, AL","DL",94.34,"Ucf Knights",352000,15600,"Big 12"
"212","Brandon Dorlus","DL /Deerfield BeachDeerfield Beach, FL","DL",85.03,"Oregon Ducks",352000,10700,"Pac-12"
"213","T.J. Sanders","DL /MarionMarion, SC","DL",86.23,"South Carolina Gamecocks",338000,4400,"SEC"
"214","Peter Woods","DL /ThompsonAlabaster, AL","DL",97.65,"Clemson Tigers",328000,33000,"ACC"
"215","Tyleik Williams","DL /Unity ReedManassas, VA","DL",92.67,"Ohio State Buckeyes",323000,22000,"Big Ten"
"216","Rylie Mills","DL /Lake ForestLake Forest, IL","DL",91.44,"Notre Dame Fighting Irish",320000,8100,"Independent"
"217","Mike Hall","DL /StreetsboroStreetsboro, OH","DL",95.56,"Ohio State Buckeyes",291000,30000,"Big Ten"
"218","James Smith","DL /Carver Montgomery, AL","DL",97.38,"Alabama Crimson Tide",280000,9400,"SEC"
"219","Keith Randolph","DL /Belleville WestBelleville, IL","DL",87.13,"Illinois Fighting Illini",255000,8800,"Big Ten"
"220","Darius Alexander","DL /WayneFort Wayne, IN","DL",78.77,"Toledo Rockets",253000,310,"MAC"
"221","Jaylon Hutchings","DL /ForneyForney, TX","DL",80.15,"Texas Tech Red Raiders",249000,3500,"Big 12"
"222","Patrick Jenkins","DL /John EhretMarrero, LA","DL",91.76,"Tulane Green Wave",246000,3800,"American"
"223","Mason Graham","DL /ServiteAnaheim, CA","DL",90.19,"Michigan Wolverines",246000,5600,"Big Ten"
"224","Leonard Taylor","DL /Miami PalmettoMiami, FL","DL",98.68,"Miami Hurricanes",242000,29000,"ACC"
"226","Jordan Hall","DL /WestsideJacksonville, FL","DL",97.33,"Georgia Bulldogs",240000,17700,"SEC"
"228","Matayo Uiagalelei","DL /St. John BoscoBellflower, CA","DL",96.57,"Oregon Ducks",208000,42000,"Pac-12"
"229","Daevin Hobbs","DL /Jay M RobinsonConcord, NC","DL",96.17,"Tennessee Volunteers",208000,14100,"SEC"
"230","Nash Hutmacher","DL /ChamberlainChamberlain, SD","DL",86.87,"Nebraska Cornhuskers",193000,15900,"Big Ten"
"231","Kris Jenkins","DL /Our Lady Good Counsel HSOlney, MD","DL",88.07,"Michigan Wolverines",190000,11700,"Big Ten"
"232","Alfred Collins","DL /Cedar CreekBastrop, TX","DL",94.63,"Texas Longhorns",186000,10300,"Big 12"
"233","Vernon Broughton","DL /Cy RidgeHouston, TX","DL",93.51,"Texas Longhorns",184000,7300,"Big 12"
"234","Braden Fiske","DL /Michigan CityMichigan City, IN","DL",79.32,"Florida State Seminoles",182000,3100,"ACC"
"235","Dontay Corleone","DL /ColerainCincinnati, OH","DL",81.45,"Cincinnati Bearcats",177000,2900,"Big 12"
"236","Nathan Pickering","DL /SeminarySeminary, MS","DL",94.53,"Mississippi State Bulldogs",169000,17800,"SEC"
"237","James Thompson Jr.","DL /Roger BaconCincinnati, OH","DL",82.6,"Wisconsin Badgers",156000,1800,"Big Ten"
"238","Tyler Davis","DL /WekivaApopka, FL","DL",92.72,"Clemson Tigers",155000,11500,"ACC"
"239","McKinnley Jackson","DL /George CountyLucedale, MS","DL",94.57,"Texas A&M Aggies",154000,9300,"SEC"
"240","Jordan Renaud","DL /Tyler LegacyTyler, TX","DL",95.28,"Alabama Crimson Tide",152000,6200,"SEC"
"241","Mekhi Wingo","DL /DeSmetSaint Louis, MO","DL",87.13,"Lsu Tigers",148000,11700,"SEC"
"242","Sydir Mitchell","DL /Bergen CatholicOradell, NJ","DL",91.59,"Texas Longhorns",144000,14400,"Big 12"
"243","Omari Thomas","DL /Briarcrest ChristianMemphis, TN","DL",94.21,"Tennessee Volunteers",138000,38000,"SEC"
"244","DeWayne Carter","DL /Pickerington CentralPickerington, OH","DL",88.37,"Duke Blue Devils",137000,28000,"ACC"
"245","Vic Burley","DL /Warner RobinsWarner Robins, GA","DL",95.17,"Clemson Tigers",136000,13200,"ACC"
"246","Elijah Simmons","DL /Pearl-CohnNashville, TN","DL",87.47,"Tennessee Volunteers",136000,17900,"SEC"
"247","Hunter Osborne","DL /Hewitt-TrussvilleTrussville, AL","DL",92.51,"Alabama Crimson Tide",135000,28000,"SEC"
"248","Jason Moore","DL /DeMatha CatholicFort Washington, MD","DL",95.53,"Ohio State Buckeyes",132000,16000,"Big Ten"
"249","Kurott Garland","DL /HeritageConyers, GA","DL",83,"Tennessee Volunteers",130000,4100,"SEC"
"250","Keldric Faulk","DL /Highland HomeHighland Home, AL","DL",95.46,"Auburn Tigers",130000,12300,"SEC"
"251","Judge Culpepper","DL /PlantTampa, FL","DL",88.7,"Toledo Rockets",129000,2200,"MAC"
"252","Dominic Bailey","DL /St. Frances AcademyBaltimore, MD","DL",91,"Tennessee Volunteers",124000,5100,"SEC"
"253","Andrew Depaepe","DL /Pleasant ValleyBettendorf, IA","DL",93.71,"Michigan State Spartans",124000,9000,"Big Ten"
"254","Stephiylan Green","DL /RomeRome, GA","DL",93.99,"Clemson Tigers",123000,5200,"ACC"
"255","Edric Hill","DL /North Kansas CityKansas City, MO","DL",92.53,"Alabama Crimson Tide",121000,3500,"SEC"
"256","Enow Etta","DL /Covenant Christian AcademyColleyville, TX","DL",93.59,"Michigan Wolverines",120000,6900,"Big Ten"
"257","John Walker","DL /OsceolaKissimmee, FL","DL",94.2,"Ucf Knights",117000,9000,"Big 12"
"258","Desmond Watson","DL /ArmwoodSeffner, FL","DL",89.33,"Florida Gators",108000,36000,"SEC"
"259","Tony Bradford","DL /North ShoreHouston, TX","DL",82.97,"Texas Tech Red Raiders",107000,3800,"Big 12"
"260","Ty Hamilton","DL /Pickerington CentralPickerington, OH","DL",85.9,"Ohio State Buckeyes",107000,109000,"Big Ten"
"263","Joe Golden","DL /DohertyGreeley, CO","DL",50,"Oregon State Beavers",104000,1200,"Pac-12"
"264","Jamaal Jarrett","DL /GrimsleyGreensboro, NC","DL",92.39,"Georgia Bulldogs",103000,33000,"SEC"
"265","Will Norman","DL /EastsideCamden, NJ","DL",91.93,"Florida Gators",102000,39000,"SEC"
"266","Darrell Jackson","DL /Gadsden CountyHavana, FL","DL",85.93,"Florida State Seminoles",101000,7900,"ACC"
"267","Justin Eboigbe","DL /Forest ParkForest Park, GA","DL",94.93,"Alabama Crimson Tide",100000,17200,"SEC"
"268","Shemar Stewart","DL /Monsignor PaceOpa Locka, FL","DL",98.56,"Texas A&M Aggies",100000,32000,"SEC"
"269","Gilber Edmond","DL /Fort Pierce WestwoodFort Pierce, FL","DL",82.53,"Florida State Seminoles",100000,4500,"ACC"
"270","Dennis Briggs","DL /GatewayKissimmee, FL","DL",90.29,"Florida State Seminoles",99000,5400,"ACC"
"271","LT Overton","DL /MiltonAlpharetta, GA","DL",98.24,"Texas A&M Aggies",98000,23000,"SEC"
"272","Markis Deal","DL /Naaman ForestGarland, TX","DL",93.47,"Tcu Horned Frogs",97000,4300,"Big 12"
"273","Jaheim Oatis","DL /ColumbiaColumbia, MS","DL",94.97,"Alabama Crimson Tide",97000,13400,"SEC"
"274","Tim Smith","DL /Sebastian RiverSebastian, FL","DL",96.05,"Alabama Crimson Tide",97000,7600,"SEC"
"275","Damon Payne","DL /BellevilleBelleville, MI","DL",96.06,"Alabama Crimson Tide",97000,8000,"SEC"
"276","Jah-Marien Latham","DL /Pickens CountyReform, AL","DL",91.5,"Alabama Crimson Tide",96000,6600,"SEC"
"277","Chris McClellan","DL /OwassoOwasso, OK","DL",93.84,"Florida Gators",95000,14800,"SEC"
"278","Kyon Barrs","DL /Murrieta MesaMurrieta, CA","DL",50,"Usc Trojans",95000,6400,"Pac-12"
"279","Tyreak Sapp","DL /St. Thomas AquinasFort Lauderdale, FL","DL",93.39,"Florida Gators",95000,9200,"SEC"
"280","Jack Sullivan","DL /Plainfield EastPlainfield, IL","DL",82.87,"Usc Trojans",94000,1700,"Pac-12"
"281","Justin Rogers","DL /Oak ParkOak Park, MI","DL",96.05,"Auburn Tigers",93000,14300,"SEC"
"282","Albert Regis","DL /La PorteLa Porte, TX","DL",88.63,"Texas A&M Aggies",93000,50000,"SEC"
"283","Caleb Banks","DL /SouthfieldSouthfield, MI","DL",84.1,"Florida Gators",93000,5100,"SEC"
"284","Nazir Stackhouse","DL /ColumbiaDecatur, GA","DL",90.78,"Georgia Bulldogs",92000,77000,"SEC"
"285","Isaiah Raikes","DL /St. Augustine PrepRichland, NJ","DL",89.02,"Texas A&M Aggies",92000,18700,"SEC"
"286","Jayson Jones","DL /CaleraCalera, AL","DL",89.7,"Auburn Tigers",91000,10200,"SEC"
"288","Darron Reed","DL /CarverColumbus, GA","DL",92.44,"Auburn Tigers",91000,4900,"SEC"
"289","Warren Brinson","DL /IMG AcademyBradenton, FL","DL",90.3,"Georgia Bulldogs",91000,26000,"SEC"
"290","Ty Robinson","DL /HigleyGilbert, AZ","DL",92.61,"Nebraska Cornhuskers",91000,10600,"Big Ten"
"291","Stanley Ta'ufo'ou","DL /Grace BrethrenSimi Valley, CA","DL",86.2,"Usc Trojans",91000,439,"Pac-12"
"292","Brenan Vernon","DL /MentorMentor, OH","DL",92.44,"Notre Dame Fighting Irish",90000,2800,"Independent"
"293","Ru'Quan Buckley","DL /Godwin Heights SeniorWyoming, MI","DL",87.73,"Nebraska Cornhuskers",89000,5600,"Big Ten"
"294","Mosiah Nasili-Kite","DL /Emerald RidgePuyallup, WA","DL",84.03,"Auburn Tigers",88000,788,"SEC"
"295","Jadon Scarlett","DL /ArgyleFlower Mound, TX","DL",89.61,"Texas A&M Aggies",88000,3800,"SEC"
"296","Zion Logue","DL /LebanonLebanon, TN","DL",89.4,"Georgia Bulldogs",88000,19200,"SEC"
"297","Aaron Bryant","DL /SouthavenSouthaven, MS","DL",90.08,"Texas Longhorns",88000,2400,"Big 12"
"298","Tyrion Ingram-Dawkins","DL /GaffneyGaffney, SC","DL",93.96,"Georgia Bulldogs",86000,17600,"SEC"
"299","Zane Durant","DL /Lake NonaOrlando, FL","DL",90.05,"Penn State Nittany Lions",85000,8000,"Big Ten"
"301","Laiatu Latu","EDGE /JesuitCarmichael, CA","EDGE",93.63,"Ucla Bruins",730000,6000,"Pac-12"
"302","Chris Braswell","EDGE /St. Frances AcademyBaltimore, MD","EDGE",98.09,"Alabama Crimson Tide",704000,17700,"SEC"
"303","Jonah Elliss","EDGE /Moscow SeniorMoscow, ID","EDGE",83.53,"Utah Utes",695000,1800,"Pac-12"
"304","Dallas Turner","EDGE /St. Thomas AquinasFort Lauderdale, FL","EDGE",98.61,"Alabama Crimson Tide",682000,48000,"SEC"
"305","Kaimon Rucker","EDGE /Hart CountyHartwell, GA","EDGE",83.7,"North Carolina Tar Heels",677000,6600,"ACC"
"306","Jared Verse","EDGE /Central ColumbiaBloomsburg, PA","EDGE",50,"Florida State Seminoles",653000,78000,"ACC"
"307","James Pearce","EDGE /Julius L. ChambersCharlotte, NC","EDGE",93.46,"Tennessee Volunteers",629000,9000,"SEC"
